publication_id,keyword_id,keyword_name,score
W2108598243,computer-science,Computer science,0.8695341348648071
W2108598243,wordnet,WordNet,0.8275002241134644
W2108598243,hierarchy,Hierarchy,0.5417234897613525
W2108598243,cluster-analysis,Cluster analysis,0.5259278416633606
W2108598243,artificial-intelligence,Artificial intelligence,0.5181483030319214
W2108598243,information-retrieval,Information retrieval,0.5032419562339783
W2108598243,scale,Scale (ratio),0.5020468235015869
W2108598243,object,Object (grammar),0.500352144241333
W2108598243,image,Image (mathematics),0.47625064849853516
W2108598243,ontology,Ontology,0.4443924129009247
W2108598243,data-mining,Data mining,0.3922329545021057
W2108598243,machine-learning,Machine learning,0.325738787651062
W2108598243,pattern-recognition,Pattern recognition (psychology),0.3202351927757263
W3138516171,transformer,Transformer,0.7096699476242065
W3138516171,computer-science,Computer science,0.709116518497467
W3138516171,segmentation,Segmentation,0.5326670408248901
W3138516171,artificial-intelligence,Artificial intelligence,0.5039402842521667
W3138516171,computation,Computation,0.47424808144569397
W3138516171,pixel,Pixel,0.4375455975532532
W3138516171,architecture,Architecture,0.41989022493362427
W3138516171,image-segmentation,Image segmentation,0.41790586709976196
W3138516171,computer-vision,Computer vision,0.40671929717063904
W3138516171,algorithm,Algorithm,0.16333866119384766
W3138516171,engineering,Engineering,0.13118842244148254
W3138516171,voltage,Voltage,0.13036873936653137
W2167928095,management-science,Management science,0.5429688096046448
W2167928095,replication,Replication (statistics),0.49208754301071167
W2167928095,computer-science,Computer science,0.45989730954170227
W2167928095,organizational-theory,Organizational theory,0.456143856048584
W2167928095,empirical-research,Empirical research,0.45554110407829285
W2167928095,positive-economics,Positive economics,0.3555530905723572
W2167928095,knowledge-management,Knowledge management,0.3464924991130829
W2167928095,sociology,Sociology,0.3403385281562805
W2167928095,operations-research,Operations research,0.3294052183628082
W2167928095,economics,Economics,0.2781541347503662
W2167928095,epistemology,Epistemology,0.27712148427963257
W2167928095,management,Management,0.2686750590801239
W2167928095,engineering,Engineering,0.15455308556556702
W2167928095,mathematics,Mathematics,0.09848779439926147
W2081228936,organizational-culture,Organizational culture,0.6292597055435181
W2081228936,organizational-behavior,Organizational behavior,0.5184845328330994
W2081228936,cultural-values,Cultural values,0.44655105471611023
W2081228936,public-relations,Public relations,0.410265177488327
W2081228936,sociology,Sociology,0.3862811028957367
W2081228936,psychology,Psychology,0.37104737758636475
W2081228936,political-science,Political science,0.3683249354362488
W2081228936,management,Management,0.3453659117221832
W2081228936,business,Business,0.32710909843444824
W2081228936,social-psychology,Social psychology,0.3201479911804199
W2081228936,social-science,Social science,0.2201775312423706
