id,type,source,target,year,publication_id,journal_id,person_id,author_position,is_corresponding,sort_order,institution_id,institution_name,raw_affiliation,latitude,longitude,topic_id,topic_name,score,keyword_id,keyword_name
published_in_year:year:2009->publication:W2108598243,published_in_year,year:2009,publication:W2108598243,2009,W2108598243,,,,,,,,,,,,,,,
published_in_year:year:2021->publication:W3138516171,published_in_year,year:2021,publication:W3138516171,2021,W3138516171,,,,,,,,,,,,,,,
published_in_year:year:2007->publication:W2167928095,published_in_year,year:2007,publication:W2167928095,2007,W2167928095,,,,,,,,,,,,,,,
published_in_year:year:2002->publication:W2081228936,published_in_year,year:2002,publication:W2081228936,2002,W2081228936,,,,,,,,,,,,,,,
published_in_year:year:1996->publication:W201578715,published_in_year,year:1996,publication:W201578715,1996,W201578715,,,,,,,,,,,,,,,
published_in_year:year:1989->publication:W2141951329,published_in_year,year:1989,publication:W2141951329,1989,W2141951329,,,,,,,,,,,,,,,
published_in_year:year:1989->publication:W3123397884,published_in_year,year:1989,publication:W3123397884,1989,W3123397884,,,,,,,,,,,,,,,
published_in_year:year:2009->publication:W2133990480,published_in_year,year:2009,publication:W2133990480,2009,W2133990480,,,,,,,,,,,,,,,
published_in_year:year:2001->publication:W2764347725,published_in_year,year:2001,publication:W2764347725,2001,W2764347725,,,,,,,,,,,,,,,
published_in_year:year:2011->publication:W2153635508,published_in_year,year:2011,publication:W2153635508,2011,W2153635508,,,,,,,,,,,,,,,
published_in_year:year:1976->publication:W2167590372,published_in_year,year:1976,publication:W2167590372,1976,W2167590372,,,,,,,,,,,,,,,
published_in_year:year:2014->publication:W2132454074,published_in_year,year:2014,publication:W2132454074,2014,W2132454074,,,,,,,,,,,,,,,
published_in_year:year:2007->publication:W2131350133,published_in_year,year:2007,publication:W2131350133,2007,W2131350133,,,,,,,,,,,,,,,
published_in_year:year:1990->publication:W2148066840,published_in_year,year:1990,publication:W2148066840,1990,W2148066840,,,,,,,,,,,,,,,
published_in_year:year:2014->publication:W1969360633,published_in_year,year:2014,publication:W1969360633,2014,W1969360633,,,,,,,,,,,,,,,
published_in_year:year:2010->publication:W2180229411,published_in_year,year:2010,publication:W2180229411,2010,W2180229411,,,,,,,,,,,,,,,
published_in_year:year:2010->publication:W4248872320,published_in_year,year:2010,publication:W4248872320,2010,W4248872320,,,,,,,,,,,,,,,
published_in_year:year:2010->publication:W2124026197,published_in_year,year:2010,publication:W2124026197,2010,W2124026197,,,,,,,,,,,,,,,
published_in_year:year:2004->publication:W2144081223,published_in_year,year:2004,publication:W2144081223,2004,W2144081223,,,,,,,,,,,,,,,
published_in_year:year:1998->publication:W1995017064,published_in_year,year:1998,publication:W1995017064,1998,W1995017064,,,,,,,,,,,,,,,
published_in_year:year:1994->publication:W2001641653,published_in_year,year:1994,publication:W2001641653,1994,W2001641653,,,,,,,,,,,,,,,
published_in_year:year:2016->publication:W2366536035,published_in_year,year:2016,publication:W2366536035,2016,W2366536035,,,,,,,,,,,,,,,
published_in_year:year:1991->publication:W2052742260,published_in_year,year:1991,publication:W2052742260,1991,W2052742260,,,,,,,,,,,,,,,
published_in_year:year:1983->publication:W2166281097,published_in_year,year:1983,publication:W2166281097,1983,W2166281097,,,,,,,,,,,,,,,
published_in_year:year:1993->publication:W2140918013,published_in_year,year:1993,publication:W2140918013,1993,W2140918013,,,,,,,,,,,,,,,
published_in_year:year:1990->publication:W2108795964,published_in_year,year:1990,publication:W2108795964,1990,W2108795964,,,,,,,,,,,,,,,
published_in_year:year:2001->publication:W2135732933,published_in_year,year:2001,publication:W2135732933,2001,W2135732933,,,,,,,,,,,,,,,
published_in_year:year:2014->publication:W2061438946,published_in_year,year:2014,publication:W2061438946,2014,W2061438946,,,,,,,,,,,,,,,
published_in_year:year:2022->publication:W4214907476,published_in_year,year:2022,publication:W4214907476,2022,W4214907476,,,,,,,,,,,,,,,
published_in_year:year:2004->publication:W2061977616,published_in_year,year:2004,publication:W2061977616,2004,W2061977616,,,,,,,,,,,,,,,
published_in_year:year:2004->publication:W1993663609,published_in_year,year:2004,publication:W1993663609,2004,W1993663609,,,,,,,,,,,,,,,
published_in_year:year:1961->publication:W2069687969,published_in_year,year:1961,publication:W2069687969,1961,W2069687969,,,,,,,,,,,,,,,
published_in_year:year:1994->publication:W1974097079,published_in_year,year:1994,publication:W1974097079,1994,W1974097079,,,,,,,,,,,,,,,
published_in_year:year:2011->publication:W2115017507,published_in_year,year:2011,publication:W2115017507,2011,W2115017507,,,,,,,,,,,,,,,
published_in_year:year:1986->publication:W3121131820,published_in_year,year:1986,publication:W3121131820,1986,W3121131820,,,,,,,,,,,,,,,
published_in_year:year:1966->publication:W2136931384,published_in_year,year:1966,publication:W2136931384,1966,W2136931384,,,,,,,,,,,,,,,
published_in_year:year:1965->publication:W2114004260,published_in_year,year:1965,publication:W2114004260,1965,W2114004260,,,,,,,,,,,,,,,
published_in_year:year:1938->publication:W2256756668,published_in_year,year:1938,publication:W2256756668,1938,W2256756668,,,,,,,,,,,,,,,
published_in_year:year:2002->publication:W1631356911,published_in_year,year:2002,publication:W1631356911,2002,W1631356911,,,,,,,,,,,,,,,
published_in_year:year:1983->publication:W2078206416,published_in_year,year:1983,publication:W2078206416,1983,W2078206416,,,,,,,,,,,,,,,
published_in_year:year:1966->publication:W2120062331,published_in_year,year:1966,publication:W2120062331,1966,W2120062331,,,,,,,,,,,,,,,
published_in_year:year:1957->publication:W1974085346,published_in_year,year:1957,publication:W1974085346,1957,W1974085346,,,,,,,,,,,,,,,
published_in_year:year:1957->publication:W2056722718,published_in_year,year:1957,publication:W2056722718,1957,W2056722718,,,,,,,,,,,,,,,
published_in_year:year:1998->publication:W2116839388,published_in_year,year:1998,publication:W2116839388,1998,W2116839388,,,,,,,,,,,,,,,
published_in_year:year:2012->publication:W2127951128,published_in_year,year:2012,publication:W2127951128,2012,W2127951128,,,,,,,,,,,,,,,
published_in_year:year:1988->publication:W3123534837,published_in_year,year:1988,publication:W3123534837,1988,W3123534837,,,,,,,,,,,,,,,
published_in_year:year:1985->publication:W3022339544,published_in_year,year:1985,publication:W3022339544,1985,W3022339544,,,,,,,,,,,,,,,
published_in_year:year:1977->publication:W1965278510,published_in_year,year:1977,publication:W1965278510,1977,W1965278510,,,,,,,,,,,,,,,
published_in_year:year:1973->publication:W2109469951,published_in_year,year:1973,publication:W2109469951,1973,W2109469951,,,,,,,,,,,,,,,
published_in_year:year:2019->publication:W2144846366,published_in_year,year:2019,publication:W2144846366,2019,W2144846366,,,,,,,,,,,,,,,
published_in_year:year:2013->publication:W4247665917,published_in_year,year:2013,publication:W4247665917,2013,W4247665917,,,,,,,,,,,,,,,
published_in_year:year:2022->publication:W4281687410,published_in_year,year:2022,publication:W4281687410,2022,W4281687410,,,,,,,,,,,,,,,
published_in_year:year:2000->publication:W4242883546,published_in_year,year:2000,publication:W4242883546,2000,W4242883546,,,,,,,,,,,,,,,
published_in_year:year:2000->publication:W2141846678,published_in_year,year:2000,publication:W2141846678,2000,W2141846678,,,,,,,,,,,,,,,
published_in_year:year:1983->publication:W3123282572,published_in_year,year:1983,publication:W3123282572,1983,W3123282572,,,,,,,,,,,,,,,
published_in_year:year:1967->publication:W2073506374,published_in_year,year:1967,publication:W2073506374,1967,W2073506374,,,,,,,,,,,,,,,
published_in_year:year:1956->publication:W2044950274,published_in_year,year:1956,publication:W2044950274,1956,W2044950274,,,,,,,,,,,,,,,
published_in_year:year:1962->publication:W2075435443,published_in_year,year:1962,publication:W2075435443,1962,W2075435443,,,,,,,,,,,,,,,
published_in_year:year:1996->publication:W2165292984,published_in_year,year:1996,publication:W2165292984,1996,W2165292984,,,,,,,,,,,,,,,
published_in_year:year:1990->publication:W2314225431,published_in_year,year:1990,publication:W2314225431,1990,W2314225431,,,,,,,,,,,,,,,
published_in_year:year:1990->publication:W1856219842,published_in_year,year:1990,publication:W1856219842,1990,W1856219842,,,,,,,,,,,,,,,
published_in_year:year:1987->publication:W4294216491,published_in_year,year:1987,publication:W4294216491,1987,W4294216491,,,,,,,,,,,,,,,
published_in_year:year:1987->publication:W2134812217,published_in_year,year:1987,publication:W2134812217,1987,W2134812217,,,,,,,,,,,,,,,
published_in_year:year:1985->publication:W4232534952,published_in_year,year:1985,publication:W4232534952,1985,W4232534952,,,,,,,,,,,,,,,
published_in_year:year:1983->publication:W2014669590,published_in_year,year:1983,publication:W2014669590,1983,W2014669590,,,,,,,,,,,,,,,
published_in_year:year:1979->publication:W1983310681,published_in_year,year:1979,publication:W1983310681,1979,W1983310681,,,,,,,,,,,,,,,
published_in_year:year:1976->publication:W2128635872,published_in_year,year:1976,publication:W2128635872,1976,W2128635872,,,,,,,,,,,,,,,
published_in_year:year:1976->publication:W4293247451,published_in_year,year:1976,publication:W4293247451,1976,W4293247451,,,,,,,,,,,,,,,
published_in_year:year:1980->publication:W2298230951,published_in_year,year:1980,publication:W2298230951,1980,W2298230951,,,,,,,,,,,,,,,
published_in_year:year:1964->publication:W2109606373,published_in_year,year:1964,publication:W2109606373,1964,W2109606373,,,,,,,,,,,,,,,
published_in_year:year:1959->publication:W2009674410,published_in_year,year:1959,publication:W2009674410,1959,W2009674410,,,,,,,,,,,,,,,
published_in_year:year:1956->publication:W1968834637,published_in_year,year:1956,publication:W1968834637,1956,W1968834637,,,,,,,,,,,,,,,
published_in_year:year:2006->publication:W593898368,published_in_year,year:2006,publication:W593898368,2006,W593898368,,,,,,,,,,,,,,,
published_in_year:year:1962->publication:W1584697775,published_in_year,year:1962,publication:W1584697775,1962,W1584697775,,,,,,,,,,,,,,,
published_in_year:year:2018->publication:W2891378911,published_in_year,year:2018,publication:W2891378911,2018,W2891378911,,,,,,,,,,,,,,,
published_in_year:year:2009->publication:W2155965977,published_in_year,year:2009,publication:W2155965977,2009,W2155965977,,,,,,,,,,,,,,,
published_in_year:year:2009->publication:W2005501262,published_in_year,year:2009,publication:W2005501262,2009,W2005501262,,,,,,,,,,,,,,,
published_in_year:year:2007->publication:W2059796825,published_in_year,year:2007,publication:W2059796825,2007,W2059796825,,,,,,,,,,,,,,,
published_in_year:year:1990->publication:W1485044783,published_in_year,year:1990,publication:W1485044783,1990,W1485044783,,,,,,,,,,,,,,,
published_in_year:year:2004->publication:W2096998881,published_in_year,year:2004,publication:W2096998881,2004,W2096998881,,,,,,,,,,,,,,,
published_in_year:year:1964->publication:W2111301002,published_in_year,year:1964,publication:W2111301002,1964,W2111301002,,,,,,,,,,,,,,,
published_in_year:year:1949->publication:W1983649348,published_in_year,year:1949,publication:W1983649348,1949,W1983649348,,,,,,,,,,,,,,,
published_in_year:year:1973->publication:W2011303397,published_in_year,year:1973,publication:W2011303397,1973,W2011303397,,,,,,,,,,,,,,,
published_in_year:year:2001->publication:W2130354913,published_in_year,year:2001,publication:W2130354913,2001,W2130354913,,,,,,,,,,,,,,,
published_in_year:year:2009->publication:W2108718991,published_in_year,year:2009,publication:W2108718991,2009,W2108718991,,,,,,,,,,,,,,,
published_in_year:year:2007->publication:W2152885278,published_in_year,year:2007,publication:W2152885278,2007,W2152885278,,,,,,,,,,,,,,,
published_in_year:year:1983->publication:W2089876099,published_in_year,year:1983,publication:W2089876099,1983,W2089876099,,,,,,,,,,,,,,,
published_in_year:year:1977->publication:W2112778345,published_in_year,year:1977,publication:W2112778345,1977,W2112778345,,,,,,,,,,,,,,,
