id,type,source,target,person_id,institution_id,institution_name
person_affiliated_with:person:A5101542158->affiliation:I20089843,person_affiliated_with,person:A5101542158,affiliation:I20089843,A5101542158,I20089843,Princeton University
"person_affiliated_with:person:A5101542158->affiliation:department of computer science, princeton university, usa",person_affiliated_with,person:A5101542158,"affiliation:department of computer science, princeton university, usa",A5101542158,,
"person_affiliated_with:person:A5101542158->affiliation:department of computer science, princeton university, princeton , nj, usa",person_affiliated_with,person:A5101542158,"affiliation:department of computer science, princeton university, princeton , nj, usa",A5101542158,,
person_affiliated_with:person:A5086692495->affiliation:I20089843,person_affiliated_with,person:A5086692495,affiliation:I20089843,A5086692495,I20089843,Princeton University
"person_affiliated_with:person:A5086692495->affiliation:department of computer science, princeton university, usa",person_affiliated_with,person:A5086692495,"affiliation:department of computer science, princeton university, usa",A5086692495,,
"person_affiliated_with:person:A5086692495->affiliation:department of computer science, princeton university, princeton , nj, usa",person_affiliated_with,person:A5086692495,"affiliation:department of computer science, princeton university, princeton , nj, usa",A5086692495,,
person_affiliated_with:person:A5059955534->affiliation:I20089843,person_affiliated_with,person:A5059955534,affiliation:I20089843,A5059955534,I20089843,Princeton University
"person_affiliated_with:person:A5059955534->affiliation:department of computer science, princeton university, usa",person_affiliated_with,person:A5059955534,"affiliation:department of computer science, princeton university, usa",A5059955534,,
"person_affiliated_with:person:A5059955534->affiliation:department of computer science, princeton university, princeton , nj, usa",person_affiliated_with,person:A5059955534,"affiliation:department of computer science, princeton university, princeton , nj, usa",A5059955534,,
person_affiliated_with:person:A5009049500->affiliation:I20089843,person_affiliated_with,person:A5009049500,affiliation:I20089843,A5009049500,I20089843,Princeton University
"person_affiliated_with:person:A5009049500->affiliation:department of computer science, princeton university, usa",person_affiliated_with,person:A5009049500,"affiliation:department of computer science, princeton university, usa",A5009049500,,
"person_affiliated_with:person:A5009049500->affiliation:department of computer science, princeton university, princeton , nj, usa",person_affiliated_with,person:A5009049500,"affiliation:department of computer science, princeton university, princeton , nj, usa",A5009049500,,
