id,type,source,target,publication_id,institution_id,institution_name,raw_affiliation,latitude,longitude
has_affiliation:publication:W2108598243->affiliation:I20089843,has_affiliation,publication:W2108598243,affiliation:I20089843,W2108598243,I20089843,Princeton University,,40.34872,-74.65905
"has_affiliation:publication:W2108598243->affiliation:department of computer science, princeton university, usa",has_affiliation,publication:W2108598243,"affiliation:department of computer science, princeton university, usa",W2108598243,,,"Department of Computer Science, Princeton University, USA",40.34872,-74.65905
"has_affiliation:publication:W2108598243->affiliation:department of computer science, princeton university, princeton , nj, usa",has_affiliation,publication:W2108598243,"affiliation:department of computer science, princeton university, princeton , nj, usa",W2108598243,,,"Department of Computer Science, Princeton University, Princeton , NJ, USA",40.34872,-74.65905
has_affiliation:publication:W3138516171->affiliation:I126520041,has_affiliation,publication:W3138516171,affiliation:I126520041,W3138516171,I126520041,University of Science and Technology of China,,31.86389,117.28083
has_affiliation:publication:W3138516171->affiliation:I4210113369,has_affiliation,publication:W3138516171,affiliation:I4210113369,W3138516171,I4210113369,Microsoft Research Asia (China),,39.907501220703125,116.39723205566406
has_affiliation:publication:W3138516171->affiliation:microsoft research asia,has_affiliation,publication:W3138516171,affiliation:microsoft research asia,W3138516171,,,Microsoft Research Asia,31.86389,117.28083
has_affiliation:publication:W3138516171->affiliation:university of science and technology of china,has_affiliation,publication:W3138516171,affiliation:university of science and technology of china,W3138516171,,,University of Science and Technology of China,31.86389,117.28083
has_affiliation:publication:W3138516171->affiliation:I87445476,has_affiliation,publication:W3138516171,affiliation:I87445476,W3138516171,I87445476,Xi'an Jiaotong University,,34.25833,108.92861
has_affiliation:publication:W3138516171->affiliation:xian jiaotong university,has_affiliation,publication:W3138516171,affiliation:xian jiaotong university,W3138516171,,,Xian Jiaotong University,39.907501220703125,116.39723205566406
has_affiliation:publication:W3138516171->affiliation:I99065089,has_affiliation,publication:W3138516171,affiliation:I99065089,W3138516171,I99065089,Tsinghua University,,39.9075,116.39723
has_affiliation:publication:W3138516171->affiliation:tsinghua university,has_affiliation,publication:W3138516171,affiliation:tsinghua university,W3138516171,,,Tsinghua University,39.907501220703125,116.39723205566406
has_affiliation:publication:W2167928095->affiliation:I86519309,has_affiliation,publication:W2167928095,affiliation:I86519309,W2167928095,I86519309,The University of Texas at Austin,,30.26715,-97.74306
