id,type,source,target,publication_id,keyword_id,keyword_name,score
has_keyword:publication:W2108598243->keyword:computer-science,has_keyword,publication:W2108598243,keyword:computer-science,W2108598243,computer-science,Computer science,0.8695341348648071
has_keyword:publication:W2108598243->keyword:wordnet,has_keyword,publication:W2108598243,keyword:wordnet,W2108598243,wordnet,WordNet,0.8275002241134644
has_keyword:publication:W2108598243->keyword:hierarchy,has_keyword,publication:W2108598243,keyword:hierarchy,W2108598243,hierarchy,Hierarchy,0.5417234897613525
has_keyword:publication:W2108598243->keyword:cluster-analysis,has_keyword,publication:W2108598243,keyword:cluster-analysis,W2108598243,cluster-analysis,Cluster analysis,0.5259278416633606
has_keyword:publication:W2108598243->keyword:artificial-intelligence,has_keyword,publication:W2108598243,keyword:artificial-intelligence,W2108598243,artificial-intelligence,Artificial intelligence,0.5181483030319214
has_keyword:publication:W2108598243->keyword:information-retrieval,has_keyword,publication:W2108598243,keyword:information-retrieval,W2108598243,information-retrieval,Information retrieval,0.5032419562339783
has_keyword:publication:W2108598243->keyword:scale,has_keyword,publication:W2108598243,keyword:scale,W2108598243,scale,Scale (ratio),0.5020468235015869
has_keyword:publication:W2108598243->keyword:object,has_keyword,publication:W2108598243,keyword:object,W2108598243,object,Object (grammar),0.500352144241333
has_keyword:publication:W2108598243->keyword:image,has_keyword,publication:W2108598243,keyword:image,W2108598243,image,Image (mathematics),0.47625064849853516
has_keyword:publication:W2108598243->keyword:ontology,has_keyword,publication:W2108598243,keyword:ontology,W2108598243,ontology,Ontology,0.4443924129009247
has_keyword:publication:W2108598243->keyword:data-mining,has_keyword,publication:W2108598243,keyword:data-mining,W2108598243,data-mining,Data mining,0.3922329545021057
has_keyword:publication:W2108598243->keyword:machine-learning,has_keyword,publication:W2108598243,keyword:machine-learning,W2108598243,machine-learning,Machine learning,0.325738787651062
has_keyword:publication:W2108598243->keyword:pattern-recognition,has_keyword,publication:W2108598243,keyword:pattern-recognition,W2108598243,pattern-recognition,Pattern recognition (psychology),0.3202351927757263
has_keyword:publication:W3138516171->keyword:transformer,has_keyword,publication:W3138516171,keyword:transformer,W3138516171,transformer,Transformer,0.7096699476242065
has_keyword:publication:W3138516171->keyword:computer-science,has_keyword,publication:W3138516171,keyword:computer-science,W3138516171,computer-science,Computer science,0.709116518497467
has_keyword:publication:W3138516171->keyword:segmentation,has_keyword,publication:W3138516171,keyword:segmentation,W3138516171,segmentation,Segmentation,0.5326670408248901
has_keyword:publication:W3138516171->keyword:artificial-intelligence,has_keyword,publication:W3138516171,keyword:artificial-intelligence,W3138516171,artificial-intelligence,Artificial intelligence,0.5039402842521667
has_keyword:publication:W3138516171->keyword:computation,has_keyword,publication:W3138516171,keyword:computation,W3138516171,computation,Computation,0.47424808144569397
has_keyword:publication:W3138516171->keyword:pixel,has_keyword,publication:W3138516171,keyword:pixel,W3138516171,pixel,Pixel,0.4375455975532532
has_keyword:publication:W3138516171->keyword:architecture,has_keyword,publication:W3138516171,keyword:architecture,W3138516171,architecture,Architecture,0.41989022493362427
has_keyword:publication:W3138516171->keyword:image-segmentation,has_keyword,publication:W3138516171,keyword:image-segmentation,W3138516171,image-segmentation,Image segmentation,0.41790586709976196
