id,type,source,target,publication_id,person_id,author_position,is_corresponding,sort_order
authored_by:publication:W2108598243->person:A5101542158,authored_by,publication:W2108598243,person:A5101542158,W2108598243,A5101542158,first,1,0
authored_by:publication:W2108598243->person:A5086692495,authored_by,publication:W2108598243,person:A5086692495,W2108598243,A5086692495,middle,0,1
authored_by:publication:W2108598243->person:A5059955534,authored_by,publication:W2108598243,person:A5059955534,W2108598243,A5059955534,middle,0,2
authored_by:publication:W2108598243->person:A5009049500,authored_by,publication:W2108598243,person:A5009049500,W2108598243,A5009049500,middle,0,3
authored_by:publication:W2108598243->person:A5100399972,authored_by,publication:W2108598243,person:A5100399972,W2108598243,A5100399972,middle,0,4
authored_by:publication:W2108598243->person:A5100450462,authored_by,publication:W2108598243,person:A5100450462,W2108598243,A5100450462,last,0,5
authored_by:publication:W3138516171->person:A5100349451,authored_by,publication:W3138516171,person:A5100349451,W3138516171,A5100349451,first,1,0
authored_by:publication:W3138516171->person:A5102798361,authored_by,publication:W3138516171,person:A5102798361,W3138516171,A5102798361,middle,0,1
authored_by:publication:W3138516171->person:A5101593662,authored_by,publication:W3138516171,person:A5101593662,W3138516171,A5101593662,middle,0,2
authored_by:publication:W3138516171->person:A5101976576,authored_by,publication:W3138516171,person:A5101976576,W3138516171,A5101976576,middle,0,3
authored_by:publication:W3138516171->person:A5009248953,authored_by,publication:W3138516171,person:A5009248953,W3138516171,A5009248953,middle,0,4
authored_by:publication:W3138516171->person:A5100459168,authored_by,publication:W3138516171,person:A5100459168,W3138516171,A5100459168,middle,0,5
authored_by:publication:W3138516171->person:A5025114648,authored_by,publication:W3138516171,person:A5025114648,W3138516171,A5025114648,middle,0,6
authored_by:publication:W3138516171->person:A5101666011,authored_by,publication:W3138516171,person:A5101666011,W3138516171,A5101666011,last,0,7
authored_by:publication:W2167928095->person:A5045613469,authored_by,publication:W2167928095,person:A5045613469,W2167928095,A5045613469,first,1,0
authored_by:publication:W2167928095->person:A5012295433,authored_by,publication:W2167928095,person:A5012295433,W2167928095,A5012295433,last,0,1
authored_by:publication:W2081228936->person:A5106923143,authored_by,publication:W2081228936,person:A5106923143,W2081228936,A5106923143,first,1,0
authored_by:publication:W2081228936->person:A5056276177,authored_by,publication:W2081228936,person:A5056276177,W2081228936,A5056276177,last,0,1
authored_by:publication:W201578715->person:A5110458536,authored_by,publication:W201578715,person:A5110458536,W201578715,A5110458536,first,1,0
authored_by:publication:W201578715->person:A5088714049,authored_by,publication:W201578715,person:A5088714049,W201578715,A5088714049,middle,0,1
authored_by:publication:W201578715->person:A5078272344,authored_by,publication:W201578715,person:A5078272344,W201578715,A5078272344,last,0,2
authored_by:publication:W2141951329->person:A5045613469,authored_by,publication:W2141951329,person:A5045613469,W2141951329,A5045613469,first,1,0
authored_by:publication:W3123397884->person:A5045613469,authored_by,publication:W3123397884,person:A5045613469,W3123397884,A5045613469,first,1,0
authored_by:publication:W2133990480->person:A5056507889,authored_by,publication:W2133990480,person:A5056507889,W2133990480,A5056507889,first,1,0
authored_by:publication:W2133990480->person:A5059992863,authored_by,publication:W2133990480,person:A5059992863,W2133990480,A5059992863,middle,0,1
authored_by:publication:W2133990480->person:A5063502807,authored_by,publication:W2133990480,person:A5063502807,W2133990480,A5063502807,middle,0,2
authored_by:publication:W2133990480->person:A5087785022,authored_by,publication:W2133990480,person:A5087785022,W2133990480,A5087785022,middle,0,3
authored_by:publication:W2133990480->person:A5065535374,authored_by,publication:W2133990480,person:A5065535374,W2133990480,A5065535374,middle,0,4
authored_by:publication:W2133990480->person:A5045934263,authored_by,publication:W2133990480,person:A5045934263,W2133990480,A5045934263,last,0,5
authored_by:publication:W2764347725->person:A5040957761,authored_by,publication:W2764347725,person:A5040957761,W2764347725,A5040957761,first,1,0
authored_by:publication:W2153635508->person:A5103432521,authored_by,publication:W2153635508,person:A5103432521,W2153635508,A5103432521,first,1,0
authored_by:publication:W2153635508->person:A5068223640,authored_by,publication:W2153635508,person:A5068223640,W2153635508,A5068223640,last,0,1
authored_by:publication:W2167590372->person:A5112607389,authored_by,publication:W2167590372,person:A5112607389,W2167590372,A5112607389,first,1,0
authored_by:publication:W2132454074->person:A5042885999,authored_by,publication:W2132454074,person:A5042885999,W2132454074,A5042885999,first,1,0
authored_by:publication:W2131350133->person:A5042885999,authored_by,publication:W2131350133,person:A5042885999,W2131350133,A5042885999,first,1,0
authored_by:publication:W2148066840->person:A5042885999,authored_by,publication:W2148066840,person:A5042885999,W2148066840,A5042885999,first,1,0
authored_by:publication:W1969360633->person:A5042885999,authored_by,publication:W1969360633,person:A5042885999,W1969360633,A5042885999,first,1,0
authored_by:publication:W2180229411->person:A5027915011,authored_by,publication:W2180229411,person:A5027915011,W2180229411,A5027915011,first,1,0
authored_by:publication:W2180229411->person:A5027485418,authored_by,publication:W2180229411,person:A5027485418,W2180229411,A5027485418,middle,0,1
authored_by:publication:W2180229411->person:A5032792168,authored_by,publication:W2180229411,person:A5032792168,W2180229411,A5032792168,middle,0,2
authored_by:publication:W2180229411->person:A5019366254,authored_by,publication:W2180229411,person:A5019366254,W2180229411,A5019366254,middle,0,3
authored_by:publication:W2180229411->person:A5061053575,authored_by,publication:W2180229411,person:A5061053575,W2180229411,A5061053575,middle,0,4
authored_by:publication:W2180229411->person:A5112138120,authored_by,publication:W2180229411,person:A5112138120,W2180229411,A5112138120,middle,0,5
authored_by:publication:W2180229411->person:A5027195057,authored_by,publication:W2180229411,person:A5027195057,W2180229411,A5027195057,middle,0,6
authored_by:publication:W2180229411->person:A5023778323,authored_by,publication:W2180229411,person:A5023778323,W2180229411,A5023778323,middle,0,7
authored_by:publication:W2180229411->person:A5069575711,authored_by,publication:W2180229411,person:A5069575711,W2180229411,A5069575711,middle,0,8
authored_by:publication:W2180229411->person:A5110342059,authored_by,publication:W2180229411,person:A5110342059,W2180229411,A5110342059,middle,0,9
authored_by:publication:W2180229411->person:A5103453342,authored_by,publication:W2180229411,person:A5103453342,W2180229411,A5103453342,middle,0,10
authored_by:publication:W2180229411->person:A5084490031,authored_by,publication:W2180229411,person:A5084490031,W2180229411,A5084490031,middle,0,11
authored_by:publication:W2180229411->person:A5019087806,authored_by,publication:W2180229411,person:A5019087806,W2180229411,A5019087806,middle,0,12
authored_by:publication:W2180229411->person:A5068323278,authored_by,publication:W2180229411,person:A5068323278,W2180229411,A5068323278,middle,0,13
authored_by:publication:W2180229411->person:A5035236781,authored_by,publication:W2180229411,person:A5035236781,W2180229411,A5035236781,middle,0,14
authored_by:publication:W2180229411->person:A5046412779,authored_by,publication:W2180229411,person:A5046412779,W2180229411,A5046412779,middle,0,15
authored_by:publication:W2180229411->person:A5090015351,authored_by,publication:W2180229411,person:A5090015351,W2180229411,A5090015351,middle,0,16
authored_by:publication:W2180229411->person:A5081770773,authored_by,publication:W2180229411,person:A5081770773,W2180229411,A5081770773,last,0,17
authored_by:publication:W4248872320->person:A5013181401,authored_by,publication:W4248872320,person:A5013181401,W4248872320,A5013181401,first,1,0
authored_by:publication:W2124026197->person:A5071138931,authored_by,publication:W2124026197,person:A5071138931,W2124026197,A5071138931,first,1,0
authored_by:publication:W2124026197->person:A5073942998,authored_by,publication:W2124026197,person:A5073942998,W2124026197,A5073942998,middle,0,1
authored_by:publication:W2124026197->person:A5063283743,authored_by,publication:W2124026197,person:A5063283743,W2124026197,A5063283743,middle,0,2
authored_by:publication:W2124026197->person:A5018808577,authored_by,publication:W2124026197,person:A5018808577,W2124026197,A5018808577,last,0,3
authored_by:publication:W2144081223->person:A5071138931,authored_by,publication:W2144081223,person:A5071138931,W2144081223,A5071138931,first,1,0
authored_by:publication:W2144081223->person:A5018808577,authored_by,publication:W2144081223,person:A5018808577,W2144081223,A5018808577,last,0,1
authored_by:publication:W1995017064->person:A5056911622,authored_by,publication:W1995017064,person:A5056911622,W1995017064,A5056911622,first,1,0
authored_by:publication:W1995017064->person:A5027915011,authored_by,publication:W1995017064,person:A5027915011,W1995017064,A5027915011,middle,0,1
authored_by:publication:W1995017064->person:A5024727980,authored_by,publication:W1995017064,person:A5024727980,W1995017064,A5024727980,middle,0,2
authored_by:publication:W1995017064->person:A5090802246,authored_by,publication:W1995017064,person:A5090802246,W1995017064,A5090802246,middle,0,3
authored_by:publication:W1995017064->person:A5045574506,authored_by,publication:W1995017064,person:A5045574506,W1995017064,A5045574506,middle,0,4
authored_by:publication:W1995017064->person:A5110342059,authored_by,publication:W1995017064,person:A5110342059,W1995017064,A5110342059,middle,0,5
authored_by:publication:W1995017064->person:A5011813946,authored_by,publication:W1995017064,person:A5011813946,W1995017064,A5011813946,middle,0,6
authored_by:publication:W1995017064->person:A5046828897,authored_by,publication:W1995017064,person:A5046828897,W1995017064,A5046828897,middle,0,7
authored_by:publication:W1995017064->person:A5024276029,authored_by,publication:W1995017064,person:A5024276029,W1995017064,A5024276029,middle,0,8
authored_by:publication:W1995017064->person:A5042956432,authored_by,publication:W1995017064,person:A5042956432,W1995017064,A5042956432,middle,0,9
authored_by:publication:W1995017064->person:A5068323278,authored_by,publication:W1995017064,person:A5068323278,W1995017064,A5068323278,middle,0,10
authored_by:publication:W1995017064->person:A5056334757,authored_by,publication:W1995017064,person:A5056334757,W1995017064,A5056334757,middle,0,11
authored_by:publication:W1995017064->person:A5033410644,authored_by,publication:W1995017064,person:A5033410644,W1995017064,A5033410644,middle,0,12
authored_by:publication:W1995017064->person:A5057042667,authored_by,publication:W1995017064,person:A5057042667,W1995017064,A5057042667,last,0,13
authored_by:publication:W2001641653->person:A5097852737,authored_by,publication:W2001641653,person:A5097852737,W2001641653,A5097852737,first,1,0
authored_by:publication:W2366536035->person:A5021122229,authored_by,publication:W2366536035,person:A5021122229,W2366536035,A5021122229,first,1,0
authored_by:publication:W2366536035->person:A5052983963,authored_by,publication:W2366536035,person:A5052983963,W2366536035,A5052983963,middle,0,1
authored_by:publication:W2366536035->person:A5014129073,authored_by,publication:W2366536035,person:A5014129073,W2366536035,A5014129073,middle,0,2
authored_by:publication:W2366536035->person:A5052657395,authored_by,publication:W2366536035,person:A5052657395,W2366536035,A5052657395,middle,0,3
authored_by:publication:W2366536035->person:A5111547791,authored_by,publication:W2366536035,person:A5111547791,W2366536035,A5111547791,middle,0,4
authored_by:publication:W2366536035->person:A5072507966,authored_by,publication:W2366536035,person:A5072507966,W2366536035,A5072507966,middle,0,5
authored_by:publication:W2366536035->person:A5103530823,authored_by,publication:W2366536035,person:A5103530823,W2366536035,A5103530823,middle,0,6
authored_by:publication:W2366536035->person:A5111874068,authored_by,publication:W2366536035,person:A5111874068,W2366536035,A5111874068,middle,0,7
authored_by:publication:W2366536035->person:A5017135203,authored_by,publication:W2366536035,person:A5017135203,W2366536035,A5017135203,middle,0,8
authored_by:publication:W2366536035->person:A5071632296,authored_by,publication:W2366536035,person:A5071632296,W2366536035,A5071632296,last,0,9
authored_by:publication:W2052742260->person:A5016965073,authored_by,publication:W2052742260,person:A5016965073,W2052742260,A5016965073,first,1,0
authored_by:publication:W2052742260->person:A5109411364,authored_by,publication:W2052742260,person:A5109411364,W2052742260,A5109411364,last,0,1
authored_by:publication:W2166281097->person:A5007379298,authored_by,publication:W2166281097,person:A5007379298,W2166281097,A5007379298,first,0,0
authored_by:publication:W2166281097->person:A5088498607,authored_by,publication:W2166281097,person:A5088498607,W2166281097,A5088498607,last,1,1
authored_by:publication:W2140918013->person:A5056249088,authored_by,publication:W2140918013,person:A5056249088,W2140918013,A5056249088,first,1,0
authored_by:publication:W2140918013->person:A5056276177,authored_by,publication:W2140918013,person:A5056276177,W2140918013,A5056276177,last,0,1
authored_by:publication:W2108795964->person:A5066540447,authored_by,publication:W2108795964,person:A5066540447,W2108795964,A5066540447,first,1,0
authored_by:publication:W2108795964->person:A5030291124,authored_by,publication:W2108795964,person:A5030291124,W2108795964,A5030291124,last,0,1
authored_by:publication:W2135732933->person:A5040688597,authored_by,publication:W2135732933,person:A5040688597,W2135732933,A5040688597,first,1,0
authored_by:publication:W2135732933->person:A5072778946,authored_by,publication:W2135732933,person:A5072778946,W2135732933,A5072778946,middle,0,1
authored_by:publication:W2135732933->person:A5050837683,authored_by,publication:W2135732933,person:A5050837683,W2135732933,A5050837683,middle,0,2
authored_by:publication:W2135732933->person:A5035781073,authored_by,publication:W2135732933,person:A5035781073,W2135732933,A5035781073,last,0,3
authored_by:publication:W2061438946->person:A5091500375,authored_by,publication:W2061438946,person:A5091500375,W2061438946,A5091500375,first,1,0
authored_by:publication:W2061438946->person:A5071437793,authored_by,publication:W2061438946,person:A5071437793,W2061438946,A5071437793,middle,0,1
authored_by:publication:W2061438946->person:A5063313173,authored_by,publication:W2061438946,person:A5063313173,W2061438946,A5063313173,last,0,2
authored_by:publication:W2061977616->person:A5055251050,authored_by,publication:W2061977616,person:A5055251050,W2061977616,A5055251050,first,1,0
authored_by:publication:W1993663609->person:A5016858660,authored_by,publication:W1993663609,person:A5016858660,W1993663609,A5016858660,first,1,0
authored_by:publication:W1993663609->person:A5051910920,authored_by,publication:W1993663609,person:A5051910920,W1993663609,A5051910920,last,0,1
authored_by:publication:W2069687969->person:A5110449310,authored_by,publication:W2069687969,person:A5110449310,W2069687969,A5110449310,first,1,0
authored_by:publication:W1974097079->person:A5029882914,authored_by,publication:W1974097079,person:A5029882914,W1974097079,A5029882914,first,1,0
authored_by:publication:W2115017507->person:A5074628106,authored_by,publication:W2115017507,person:A5074628106,W2115017507,A5074628106,first,1,0
authored_by:publication:W2115017507->person:A5059027860,authored_by,publication:W2115017507,person:A5059027860,W2115017507,A5059027860,middle,0,1
authored_by:publication:W2115017507->person:A5088503502,authored_by,publication:W2115017507,person:A5088503502,W2115017507,A5088503502,middle,0,2
authored_by:publication:W2115017507->person:A5068688487,authored_by,publication:W2115017507,person:A5068688487,W2115017507,A5068688487,middle,0,3
