id,type,source,target,publication_id,topic_id,topic_name,score
has_topic:publication:W2108598243->topic:T10627,has_topic,publication:W2108598243,topic:T10627,W2108598243,T10627,Advanced Image and Video Retrieval Techniques,0.9998999834060669
has_topic:publication:W2108598243->topic:T10824,has_topic,publication:W2108598243,topic:T10824,W2108598243,T10824,Image Retrieval and Classification Techniques,0.9991000294685364
has_topic:publication:W2108598243->topic:T11714,has_topic,publication:W2108598243,topic:T11714,W2108598243,T11714,Multimodal Machine Learning Applications,0.9937999844551086
has_topic:publication:W3138516171->topic:T10036,has_topic,publication:W3138516171,topic:T10036,W3138516171,T10036,Advanced Neural Network Applications,0.9998999834060669
has_topic:publication:W3138516171->topic:T11307,has_topic,publication:W3138516171,topic:T11307,W3138516171,T11307,Domain Adaptation and Few-Shot Learning,0.9997000098228455
has_topic:publication:W3138516171->topic:T10627,has_topic,publication:W3138516171,topic:T10627,W3138516171,T10627,Advanced Image and Video Retrieval Techniques,0.9995999932289124
has_topic:publication:W2167928095->topic:T10344,has_topic,publication:W2167928095,topic:T10344,W2167928095,T10344,Management and Organizational Studies,0.9865999817848206
has_topic:publication:W2167928095->topic:T11024,has_topic,publication:W2167928095,topic:T11024,W2167928095,T11024,Information Systems Theories and Implementation,0.9793999791145325
has_topic:publication:W2167928095->topic:T12010,has_topic,publication:W2167928095,topic:T12010,W2167928095,T12010,Evaluation and Performance Assessment,0.9520999789237976
has_topic:publication:W2081228936->topic:T11047,has_topic,publication:W2081228936,topic:T11047,W2081228936,T11047,Gender Diversity and Inequality,0.857200026512146
has_topic:publication:W201578715->topic:T11810,has_topic,publication:W201578715,topic:T11810,W201578715,T11810,Complex Systems and Decision Making,0.6603999733924866
has_topic:publication:W2141951329->topic:T10344,has_topic,publication:W2141951329,topic:T10344,W2141951329,T10344,Management and Organizational Studies,0.9900000095367432
has_topic:publication:W2141951329->topic:T11810,has_topic,publication:W2141951329,topic:T11810,W2141951329,T11810,Complex Systems and Decision Making,0.9751999974250793
has_topic:publication:W2141951329->topic:T11024,has_topic,publication:W2141951329,topic:T11024,W2141951329,T11024,Information Systems Theories and Implementation,0.9478999972343445
