id,type,affiliation_id,label,institution_name,country_code,institution_type,latitude,longitude,raw_affiliation
affiliation:#n#               * university of pennsylvania,affiliation,,#N#               * University of Pennsylvania,,,,,,#N#               * University of Pennsylvania
affiliation:#tab#bulgarian academy of sciences,affiliation,,#TAB#Bulgarian Academy of Sciences,,,,42.69751,23.32415,#TAB#Bulgarian Academy of Sciences
affiliation:(university of michigan),affiliation,,(University of Michigan),,,,42.27756,-83.74088,(University of Michigan)
"affiliation:* university of toronto, toronto, ontario, canada",affiliation,,"* University of Toronto, Toronto, Ontario, Canada",,,,43.70643,-79.39864,"* University of Toronto, Toronto, Ontario, Canada"
"affiliation:****mayo clinic, rochester, mn usa",affiliation,,"****Mayo Clinic, Rochester, MN USA",,,,44.021629333496094,-92.46990203857422,"****Mayo Clinic, Rochester, MN USA"
"affiliation:*center for evolutionary functional genomics, the biodesign institute, arizona state university",affiliation,,"*Center for Evolutionary Functional Genomics, The Biodesign Institute, Arizona State University",,,,35.68949890136719,139.69171142578125,"*Center for Evolutionary Functional Genomics, The Biodesign Institute, Arizona State University"
"affiliation:, department of microbiology and immunology, university of michigan, ann arbor, michigan,",affiliation,,", Department of Microbiology and Immunology, University of Michigan, Ann Arbor, Michigan,",,,,42.27756,-83.74088,", Department of Microbiology and Immunology, University of Michigan, Ann Arbor, Michigan,"
"affiliation:, ku leuven",affiliation,,", KU Leuven",,,,50.87959,4.70093,", KU Leuven"
affiliation:-alfa forma especial fao food and agriculture organization ffsc fiesc fosc fssc gcpsr its,affiliation,,-alfa Forma especial FAO Food and Agriculture Organization FFSC FIESC FOSC FSSC GCPSR ITS,,,,,,-alfa Forma especial FAO Food and Agriculture Organization FFSC FIESC FOSC FSSC GCPSR ITS
"affiliation:1 bioinformatics division, the walter and eliza hall institute of medical research, 1g royal parade, parkville, vic 3052, 2department of computing and information systems and 3department of mathematics and statistics, the university of melbourne, parkville, vic 3010, australia",affiliation,,"1 Bioinformatics Division, The Walter and Eliza Hall Institute of Medical Research, 1G Royal Parade, Parkville, VIC 3052, 2Department of Computing and Information Systems and 3Department of Mathematics and Statistics, The University of Melbourne, Parkville, VIC 3010, Australia",,,,-37.81399917602539,144.96331787109375,"1 Bioinformatics Division, The Walter and Eliza Hall Institute of Medical Research, 1G Royal Parade, Parkville, VIC 3052, 2Department of Computing and Information Systems and 3Department of Mathematics and Statistics, The University of Melbourne, Parkville, VIC 3010, Australia"
"affiliation:1 biomatters ltd., 2/76 anzac avenue, auckland, 1010, new zealand, 2school of agriculture and food science, university of queensland, brisbane, 4072, australia and 3department of computer science, university of auckland, auckland, new zealand",affiliation,,"1 Biomatters Ltd., 2/76 Anzac Avenue, Auckland, 1010, New Zealand, 2School of Agriculture and Food Science, University of Queensland, Brisbane, 4072, Australia and 3Department of Computer Science, University of Auckland, Auckland, New Zealand",,,,-36.85606384277344,174.76666259765625,"1 Biomatters Ltd., 2/76 Anzac Avenue, Auckland, 1010, New Zealand, 2School of Agriculture and Food Science, University of Queensland, Brisbane, 4072, Australia and 3Department of Computer Science, University of Auckland, Auckland, New Zealand"
"affiliation:1 cancer program, garvan institute of medical research, 384 victoria street, darlinghurst, nsw 2010 and 2 bioinformatics division, the walter and eliza hall institute of medical research, 1g royal parade, parkville, victoria 3052, australia",affiliation,,"1 Cancer Program, Garvan Institute of Medical Research, 384 Victoria Street, Darlinghurst, NSW 2010 and 2 Bioinformatics Division, The Walter and Eliza Hall Institute of Medical Research, 1G Royal Parade, Parkville, Victoria 3052, Australia",,,,-33.878360748291016,151.22164916992188,"1 Cancer Program, Garvan Institute of Medical Research, 384 Victoria Street, Darlinghurst, NSW 2010 and 2 Bioinformatics Division, The Walter and Eliza Hall Institute of Medical Research, 1G Royal Parade, Parkville, Victoria 3052, Australia"
"affiliation:1 cold spring harbor laboratory, cold spring harbor, ny, usa and 2pacific biosciences, menlo park, ca, usa",affiliation,,"1 Cold Spring Harbor Laboratory, Cold Spring Harbor, NY, USA and 2Pacific Biosciences, Menlo Park, CA, USA",,,,40.871490478515625,-73.456787109375,"1 Cold Spring Harbor Laboratory, Cold Spring Harbor, NY, USA and 2Pacific Biosciences, Menlo Park, CA, USA"
"affiliation:1 departament de genètica, facultat de biologia and 2institut de recerca de la biodiversitat, universitat de barcelona, diagonal 645, 08028 barcelona, spain",affiliation,,"1 Departament de Genètica, Facultat de Biologia and 2Institut de Recerca de la Biodiversitat, Universitat de Barcelona, Diagonal 645, 08028 Barcelona, Spain",,,,41.38879,2.15899,"1 Departament de Genètica, Facultat de Biologia and 2Institut de Recerca de la Biodiversitat, Universitat de Barcelona, Diagonal 645, 08028 Barcelona, Spain"
"affiliation:1 department metabolic networks, max planck institute of molecular plant physiology, am mühlenberg 1, 14476 golm, 2 institut für biologie i, rwth aachen, worringer weg 3, 52074 aachen and 3 institute of bio- and geosciences: plant sciences, forschungszentrum jülich, leo-brandt-straße, 52425 jülich, germany",affiliation,,"1 Department Metabolic Networks, Max Planck Institute of Molecular Plant Physiology, Am Mühlenberg 1, 14476 Golm, 2 Institut für Biologie I, RWTH Aachen, Worringer Weg 3, 52074 Aachen and 3 Institute of Bio- and Geosciences: Plant Sciences, Forschungszentrum Jülich, Leo-Brandt-Straße, 52425 Jülich, Germany",,,,50.776641845703125,6.0834197998046875,"1 Department Metabolic Networks, Max Planck Institute of Molecular Plant Physiology, Am Mühlenberg 1, 14476 Golm, 2 Institut für Biologie I, RWTH Aachen, Worringer Weg 3, 52074 Aachen and 3 Institute of Bio- and Geosciences: Plant Sciences, Forschungszentrum Jülich, Leo-Brandt-Straße, 52425 Jülich, Germany"
"affiliation:1 department of biochemistry and molecular genetics, university of virginia school of medicine and 2 center for public health genomics, university of virginia, charlottesville, va 22908, usa",affiliation,,"1 Department of Biochemistry and Molecular Genetics, University of Virginia School of Medicine and 2 Center for Public Health Genomics, University of Virginia, Charlottesville, VA 22908, USA",,,,38.02931,-78.47668,"1 Department of Biochemistry and Molecular Genetics, University of Virginia School of Medicine and 2 Center for Public Health Genomics, University of Virginia, Charlottesville, VA 22908, USA"
"affiliation:1 scientific computing group, heidelberg institute for theoretical studies, 69118 heidelberg and 2department of informatics, institute of theoretical informatics, karlsruhe institute of technology, 76128 karlsruhe, germany",affiliation,,"1 Scientific Computing Group, Heidelberg Institute for Theoretical Studies, 69118 Heidelberg and 2Department of Informatics, Institute of Theoretical Informatics, Karlsruhe Institute of Technology, 76128 Karlsruhe, Germany",,,,49.00937,8.40444,"1 Scientific Computing Group, Heidelberg Institute for Theoretical Studies, 69118 Heidelberg and 2Department of Informatics, Institute of Theoretical Informatics, Karlsruhe Institute of Technology, 76128 Karlsruhe, Germany"
"affiliation:1 the conway institute of biomolecular and biomedical research, university college dublin, belfield, dublin 4, ireland, 2laboratoire de biologie et genomique structurales, institut de génétique et de biologie moléculaire et cellulaire, illkirch, france, 3european molecular biology laboratory, meyerhofstrasse 1, 69117 heidelberg, germany and 4embl outstation-european bioinformatics institute, wellcome trust genome campus hinxton, cambridge, cb10 1sd, uk",affiliation,,"1 The Conway Institute of Biomolecular and Biomedical Research, University College Dublin, Belfield, Dublin 4, Ireland, 2Laboratoire de Biologie et Genomique Structurales, Institut de Génétique et de Biologie Moléculaire et Cellulaire, Illkirch, France, 3European Molecular Biology Laboratory, Meyerhofstrasse 1, 69117 Heidelberg, Germany and 4EMBL Outstation-European Bioinformatics Institute, Wellcome Trust Genome Campus Hinxton, Cambridge, CB10 1SD, UK",,,,53.33306,-6.24889,"1 The Conway Institute of Biomolecular and Biomedical Research, University College Dublin, Belfield, Dublin 4, Ireland, 2Laboratoire de Biologie et Genomique Structurales, Institut de Génétique et de Biologie Moléculaire et Cellulaire, Illkirch, France, 3European Molecular Biology Laboratory, Meyerhofstrasse 1, 69117 Heidelberg, Germany and 4EMBL Outstation-European Bioinformatics Institute, Wellcome Trust Genome Campus Hinxton, Cambridge, CB10 1SD, UK"
"affiliation:1 victorian bioinformatics consortium, monash university, clayton 3800 and 2 life sciences computation centre, victorian life sciences computation initiative, carlton 3053, australia",affiliation,,"1 Victorian Bioinformatics Consortium, Monash University, Clayton 3800 and 2 Life Sciences Computation Centre, Victorian Life Sciences Computation Initiative, Carlton 3053, Australia",,,,-37.814,144.96332,"1 Victorian Bioinformatics Consortium, Monash University, Clayton 3800 and 2 Life Sciences Computation Centre, Victorian Life Sciences Computation Initiative, Carlton 3053, Australia"
"affiliation:1 wellcome trust sanger institute, wellcome trust genome campus, cambridge cb10 1sa, 2wellcome trust centre for human genetics, university of oxford, oxford ox3 7bn, uk, 3center for statistical genetics, department of biostatistics, university of michigan, ann arbor, mi 48109, 4program in medical and population genetics, broad institute of mit and harvard, cambridge, ma 02141, 5department of biology, boston college, ma 02467, 6national institutes of health national center for biotechnology information, md 20894, usa and 7department of statistics, university of oxford, oxford ox1 3tg, uk",affiliation,,"1 Wellcome Trust Sanger Institute, Wellcome Trust Genome Campus, Cambridge CB10 1SA, 2Wellcome Trust Centre for Human Genetics, University of Oxford, Oxford OX3 7BN, UK, 3Center for Statistical Genetics, Department of Biostatistics, University of Michigan, Ann Arbor, MI 48109, 4Program in Medical and Population Genetics, Broad Institute of MIT and Harvard, Cambridge, MA 02141, 5Department of Biology, Boston College, MA 02467, 6National Institutes of Health National Center for Biotechnology Information, MD 20894, USA and 7Department of Statistics, University of Oxford, Oxford OX1 3TG, UK",,,,42.3751,-71.10561,"1 Wellcome Trust Sanger Institute, Wellcome Trust Genome Campus, Cambridge CB10 1SA, 2Wellcome Trust Centre for Human Genetics, University of Oxford, Oxford OX3 7BN, UK, 3Center for Statistical Genetics, Department of Biostatistics, University of Michigan, Ann Arbor, MI 48109, 4Program in Medical and Population Genetics, Broad Institute of MIT and Harvard, Cambridge, MA 02141, 5Department of Biology, Boston College, MA 02467, 6National Institutes of Health National Center for Biotechnology Information, MD 20894, USA and 7Department of Statistics, University of Oxford, Oxford OX1 3TG, UK"
