id,type,journal_id,label,name,issn_l,source_type,host_organization_name
journal:name:2005 ieee computer society conference on computer vision and pattern recognition (cvpr'05),journal,name:2005 ieee computer society conference on computer vision and pattern recognition (cvpr'05),2005 IEEE Computer Society Conference on Computer Vision and Pattern Recognition (CVPR'05),2005 IEEE Computer Society Conference on Computer Vision and Pattern Recognition (CVPR'05),,,
journal:S4363607795,journal,S4363607795,2009 IEEE Conference on Computer Vision and Pattern Recognition,2009 IEEE Conference on Computer Vision and Pattern Recognition,,conference,
journal:name:2014 ieee conference on computer vision and pattern recognition,journal,name:2014 ieee conference on computer vision and pattern recognition,2014 IEEE Conference on Computer Vision and Pattern Recognition,2014 IEEE Conference on Computer Vision and Pattern Recognition,,,
journal:name:2015 ieee conference on computer vision and pattern recognition (cvpr),journal,name:2015 ieee conference on computer vision and pattern recognition (cvpr),2015 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),2015 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),,,
journal:name:2015 ieee international conference on computer vision (iccv),journal,name:2015 ieee international conference on computer vision (iccv),2015 IEEE International Conference on Computer Vision (ICCV),2015 IEEE International Conference on Computer Vision (ICCV),,,
journal:name:2016 ieee conference on computer vision and pattern recognition (cvpr),journal,name:2016 ieee conference on computer vision and pattern recognition (cvpr),2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),,,
journal:name:2017 ieee conference on computer vision and pattern recognition (cvpr),journal,name:2017 ieee conference on computer vision and pattern recognition (cvpr),2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),,,
journal:name:2017 ieee international conference on computer vision (iccv),journal,name:2017 ieee international conference on computer vision (iccv),2017 IEEE International Conference on Computer Vision (ICCV),2017 IEEE International Conference on Computer Vision (ICCV),,,
journal:name:2018 ieee/cvf conference on computer vision and pattern recognition,journal,name:2018 ieee/cvf conference on computer vision and pattern recognition,2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,
journal:S4363607764,journal,S4363607764,2021 IEEE/CVF International Conference on Computer Vision (ICCV),2021 IEEE/CVF International Conference on Computer Vision (ICCV),,conference,
journal:name:a new era in global health,journal,name:a new era in global health,A New Era in Global Health,A New Era in Global Health,,,
journal:S117778295,journal,S117778295,Academy of Management Journal,Academy of Management Journal,0001-4273,journal,Academy of Management
journal:S46763546,journal,S46763546,Academy of Management Review,Academy of Management Review,0363-7425,journal,Academy of Management
journal:S4210176598,journal,S4210176598,ACM SIGKDD Explorations Newsletter,ACM SIGKDD Explorations Newsletter,1931-0145,journal,Association for Computing Machinery
journal:S186921487,journal,S186921487,ACM SIGSOFT Software Engineering Notes,ACM SIGSOFT Software Engineering Notes,0163-5948,journal,Association for Computing Machinery
journal:S2492086750,journal,S2492086750,ACM Transactions on Intelligent Systems and Technology,ACM Transactions on Intelligent Systems and Technology,2157-6904,journal,Association for Computing Machinery
journal:S4210200759,journal,S4210200759,Acta Crystallographica Section A,Acta Crystallographica Section A,0567-7394,journal,International Union of Crystallography
journal:S4393918093,journal,S4393918093,Acta Crystallographica Section A Foundations and Advances,Acta Crystallographica Section A Foundations and Advances,2053-2733,journal,
journal:S150871906,journal,S150871906,Acta Crystallographica Section A Foundations of Crystallography,Acta Crystallographica Section A Foundations of Crystallography,0108-7673,journal,Wiley
journal:S4393918092,journal,S4393918092,Acta Crystallographica Section C Structural Chemistry,Acta Crystallographica Section C Structural Chemistry,2053-2296,journal,
journal:S114502960,journal,S114502960,Acta Crystallographica Section D Biological Crystallography,Acta Crystallographica Section D Biological Crystallography,0907-4449,journal,Wiley
journal:S198620474,journal,S198620474,Acta Neuropathologica,Acta Neuropathologica,0001-6322,journal,Springer Science+Business Media
journal:S199498439,journal,S199498439,Acta Psychiatrica Scandinavica,Acta Psychiatrica Scandinavica,0001-690X,journal,Wiley
journal:name:action control,journal,name:action control,Action Control,Action Control,,,
journal:S143668711,journal,S143668711,Administrative Science Quarterly,Administrative Science Quarterly,0001-8392,journal,SAGE Publishing
journal:S114437232,journal,S114437232,Advanced Drug Delivery Reviews,Advanced Drug Delivery Reviews,0169-409X,journal,Elsevier BV
journal:S16540516,journal,S16540516,Advances in Engineering Software,Advances in Engineering Software,0965-9978,journal,Elsevier BV
journal:S106560479,journal,S106560479,Advances in experimental social psychology,Advances in experimental social psychology,0065-2601,book series,Elsevier BV
journal:S4210174510,journal,S4210174510,Advances in strategic management,Advances in strategic management,0742-3322,book series,
journal:S139950591,journal,S139950591,Agronomy Journal,Agronomy Journal,0002-1962,journal,Wiley
journal:S53336109,journal,S53336109,AIAA Journal,AIAA Journal,0001-1452,journal,American Institute of Aeronautics and Astronautics
journal:S108427512,journal,S108427512,Alzheimer s & Dementia,Alzheimer s & Dementia,1552-5260,journal,Wiley
journal:S23254222,journal,S23254222,American Economic Review,American Economic Review,0002-8282,journal,American Economic Association
journal:S15871148,journal,S15871148,American Journal of Clinical Pathology,American Journal of Clinical Pathology,0002-9173,journal,Oxford University Press
journal:S14903550,journal,S14903550,American Journal of Enology and Viticulture,American Journal of Enology and Viticulture,0002-9254,journal,American Society for Enology and Viticulture
journal:S170967050,journal,S170967050,American Journal of Epidemiology,American Journal of Epidemiology,0002-9262,journal,Oxford University Press
journal:S38866342,journal,S38866342,American Journal of Physics,American Journal of Physics,0002-9505,journal,American Institute of Physics
journal:S195759676,journal,S195759676,American Journal of Preventive Medicine,American Journal of Preventive Medicine,0749-3797,journal,Elsevier BV
journal:S93356601,journal,S93356601,American Journal of Respiratory and Critical Care Medicine,American Journal of Respiratory and Critical Care Medicine,1073-449X,journal,American Thoracic Society
journal:S122471516,journal,S122471516,American Journal of Sociology,American Journal of Sociology,0002-9602,journal,University of Chicago Press
journal:S4306462811,journal,S4306462811,American Mathematical Society eBooks,American Mathematical Society eBooks,,ebook platform,Serbian Mathematical Society
journal:S4306462815,journal,S4306462815,American Psychiatric Association eBooks,American Psychiatric Association eBooks,,ebook platform,American Psychiatric Association
journal:S4306462816,journal,S4306462816,American Psychiatric Association Publishing eBooks,American Psychiatric Association Publishing eBooks,,ebook platform,
journal:S80146597,journal,S80146597,American Psychologist,American Psychologist,0003-066X,journal,American Psychological Association
journal:S157620343,journal,S157620343,American Sociological Review,American Sociological Review,0003-1224,journal,SAGE Publishing
journal:name:an integrated approach to communication theory and research,journal,name:an integrated approach to communication theory and research,An Integrated Approach to Communication Theory and Research,An Integrated Approach to Communication Theory and Research,,,
journal:S192559872,journal,S192559872,Analytica Chimica Acta,Analytica Chimica Acta,0003-2670,journal,Elsevier BV
journal:S7858788,journal,S7858788,Analytical Biochemistry,Analytical Biochemistry,0003-2697,journal,Elsevier BV
