id,type,person_id,label,display_name,orcid
person:W2108234281-person-9,person,W2108234281-person-9,1000 Genome Project Data Processing Subgroup,1000 Genome Project Data Processing Subgroup,
person:W2149992227-person-12,person,W2149992227-person-12,1000 Genomes Project Analysis Group,1000 Genomes Project Analysis Group,
person:A5088596046,person,A5088596046,A Currie,A Currie,https://orcid.org/0000-0002-6528-3326
person:A5088008640,person,A5088008640,A H BECKETT,A H BECKETT,
person:A5112790833,person,A5112790833,A H Wyllie,A H Wyllie,
person:W1964184380-person-11,person,W1964184380-person-11,A Iida,A Iida,
person:A5074895828,person,A5074895828,A Mortazavi,A Mortazavi,https://orcid.org/0000-0002-4259-6362
person:W1666853924-person-2,person,W1666853924-person-2,A. B. Bhatia,A. B. Bhatia,
person:A5111564046,person,A5111564046,A. Bondì,A. Bondì,
person:A5070967626,person,A5070967626,A. Brunengo,A. Brunengo,https://orcid.org/0000-0003-2169-5473
person:A5043185084,person,A5043185084,A. Charnes,A. Charnes,
person:A5067881179,person,A5067881179,A. Clocchiatti,A. Clocchiatti,https://orcid.org/0000-0003-3068-4258
person:A5112228911,person,A5112228911,A. Cull,A. Cull,
person:A5106497523,person,A5106497523,A. Dell’Acqua,A. Dell’Acqua,https://orcid.org/0000-0003-2453-7745
person:A5057597679,person,A5057597679,A. DiNola,A. DiNola,
person:A5113678219,person,A5113678219,A. F. Huxley,A. F. Huxley,
person:A5004071084,person,A5004071084,A. Farr,A. Farr,
person:A5090259574,person,A5090259574,A. Feliciello,A. Feliciello,https://orcid.org/0000-0001-5823-9733
person:A5063745414,person,A5063745414,A. Filiberti,A. Filiberti,
person:A5107940813,person,A5107940813,A. Forti,A. Forti,
person:A5021501281,person,A5021501281,A. Goobar,A. Goobar,https://orcid.org/0000-0002-4163-4996
person:A5071795042,person,A5071795042,A. Grossheim,A. Grossheim,
person:A5001361375,person,A5001361375,A. H. Castro Neto,A. H. Castro Neto,https://orcid.org/0000-0003-0613-4010
person:A5103229841,person,A5103229841,A. Heikkinen,A. Heikkinen,https://orcid.org/0000-0003-4012-4780
person:A5114072579,person,A5114072579,A. Howard,A. Howard,
person:A5086244205,person,A5086244205,A. J. Simmons,A. J. Simmons,https://orcid.org/0000-0002-7327-6310
person:A5107843783,person,A5107843783,A. Johnson,A. Johnson,
person:A5058357018,person,A5058357018,A. K. Geǐm,A. K. Geǐm,https://orcid.org/0000-0003-2861-8331
person:A5056734735,person,A5056734735,A. Krishna Mallia,A. Krishna Mallia,
person:A5030452986,person,A5030452986,A. L. Hodgkin,A. L. Hodgkin,
person:A5113580052,person,A5113580052,A. Liberati,A. Liberati,
person:W1666853924-person-6,person,W1666853924-person-6,A. M. Taylor,A. M. Taylor,
person:A5109053731,person,A5109053731,A. Michael Huberman,A. Michael Huberman,
person:A5008304919,person,A5008304919,A. P. Dempster,A. P. Dempster,
person:A5068060699,person,A5068060699,A. P. McNally,A. P. McNally,
person:A5062523968,person,A5062523968,A. Papoulis,A. Papoulis,
person:A5108603030,person,A5108603030,A. Parasuraman,A. Parasuraman,
person:A5083386713,person,A5083386713,A. Pfeiffer,A. Pfeiffer,https://orcid.org/0000-0001-5328-448X
person:W1666853924-person-5,person,W1666853924-person-5,A. R. Stokes,A. R. Stokes,
person:A5047190718,person,A5047190718,A. Rahman,A. Rahman,https://orcid.org/0009-0002-3779-5209
person:A5109988286,person,A5109988286,A. Rudenski,A. Rudenski,
person:A5055371146,person,A5055371146,A. S. Fruchter,A. S. Fruchter,https://orcid.org/0000-0002-6652-9279
person:A5007379298,person,A5007379298,A. S. Zigmond,A. S. Zigmond,
person:A5044578338,person,A5044578338,A. V. Filippenko,A. V. Filippenko,https://orcid.org/0000-0003-3460-0103
person:A5109908960,person,A5109908960,A. W. F. Edwards,A. W. F. Edwards,
person:A5110789229,person,A5110789229,A.M. Rybin,A.M. Rybin,
person:A5047169338,person,A5047169338,Aaron E. Darling,Aaron E. Darling,https://orcid.org/0000-0003-2397-7925
person:A5079803961,person,A5079803961,Aaron R. Quinlan,Aaron R. Quinlan,https://orcid.org/0000-0003-1756-0859
person:A5059319052,person,A5059319052,Aaron T. Beck,Aaron T. Beck,https://orcid.org/0000-0001-6210-9528
person:W3099878876-person-23,person,W3099878876-person-23,"Abbasi, H","Abbasi, H",
person:A5024753707,person,A5024753707,Abdelrahman Ibrahim Abushouk,Abdelrahman Ibrahim Abushouk,https://orcid.org/0000-0003-1399-6487
person:A5020229477,person,A5020229477,Abderrahim Nemmar,Abderrahim Nemmar,https://orcid.org/0000-0002-0699-1015
person:A5075629581,person,A5075629581,Abdu A. Adamu,Abdu A. Adamu,https://orcid.org/0000-0003-3317-1319
person:A5074742346,person,A5074742346,Abel L. Packer,Abel L. Packer,https://orcid.org/0000-0001-9610-5728
person:W2118882740-person-0,person,W2118882740-person-0,Abena Dadze-Arthur,Abena Dadze-Arthur,
person:A5102972112,person,A5102972112,Abhishek Das,Abhishek Das,https://orcid.org/0000-0002-4718-4316
person:A5025529228,person,A5025529228,Abraham Fiszbein,Abraham Fiszbein,
person:A5109091920,person,A5109091920,Abraham H. Maslow,Abraham H. Maslow,
person:A5064251359,person,A5064251359,Abraham. Savitzky,Abraham. Savitzky,
person:A5082289559,person,A5082289559,Ad Bax,Ad Bax,https://orcid.org/0000-0002-9809-5700
person:A5047245152,person,A5047245152,Adam Auton,Adam Auton,https://orcid.org/0000-0002-1630-1225
person:W2104549677-person-1,person,W2104549677-person-1,Adam Auton,Adam Auton,
person:A5017158718,person,A5017158718,Adam G. Riess,Adam G. Riess,https://orcid.org/0000-0002-6124-1196
person:A5066623854,person,A5066623854,Adam P. Arkin,Adam P. Arkin,https://orcid.org/0000-0002-4999-2931
person:A5085522942,person,A5085522942,Adam R. Rivers,Adam R. Rivers,https://orcid.org/0000-0002-3703-834X
person:A5058664442,person,A5058664442,Adhi Harmoko S,Adhi Harmoko S,
person:A5033316206,person,A5033316206,Adil Mardinoğlu,Adil Mardinoğlu,https://orcid.org/0000-0002-4254-6090
person:A5104110845,person,A5104110845,Aditya Khosla,Aditya Khosla,
person:W3003257820-person-35,person,W3003257820-person-35,Aditya Vijaykumar,Aditya Vijaykumar,
person:A5011923288,person,A5011923288,Adrian Aldcroft,Adrian Aldcroft,https://orcid.org/0000-0003-0106-720X
person:A5074615066,person,A5074615066,Adrian Bauman,Adrian Bauman,https://orcid.org/0000-0002-0369-4621
person:A5102019094,person,A5102019094,Adrienne Hunt,Adrienne Hunt,https://orcid.org/0000-0002-1227-0310
person:A5060754876,person,A5060754876,Adrián Leguina,Adrián Leguina,https://orcid.org/0000-0002-9229-2033
person:A5065404687,person,A5065404687,Afsaneh Arzani,Afsaneh Arzani,https://orcid.org/0000-0002-0562-4176
person:A5057096952,person,A5057096952,Agneta Yngve,Agneta Yngve,https://orcid.org/0000-0002-7165-279X
person:A5015750563,person,A5015750563,Ahmad Turan Naimey,Ahmad Turan Naimey,
person:A5004128917,person,A5004128917,Ahmed Abdelalim,Ahmed Abdelalim,https://orcid.org/0000-0001-6445-5539
person:A5089912733,person,A5089912733,Ahmed K. Elmagarmid,Ahmed K. Elmagarmid,https://orcid.org/0000-0002-0044-458X
person:A5009198168,person,A5009198168,Ahmedin Jemal,Ahmedin Jemal,https://orcid.org/0000-0002-0000-4111
person:A5103453342,person,A5103453342,Airlie J. McCoy,Airlie J. McCoy,https://orcid.org/0009-0001-6855-9631
person:A5006011042,person,A5006011042,Aja Huang,Aja Huang,
person:A5088714049,person,A5088714049,Ajay Mehra,Ajay Mehra,
person:A5083492946,person,A5083492946,Akihiro Kojima,Akihiro Kojima,
person:A5110769784,person,A5110769784,Akira Fujishima,Akira Fujishima,
person:A5048930001,person,A5048930001,Akira Kimura,Akira Kimura,https://orcid.org/0000-0003-0220-5678
person:A5111843956,person,A5111843956,Alain F. Zuur,Alain F. Zuur,
person:A5028004517,person,A5028004517,Alain Marty,Alain Marty,https://orcid.org/0000-0001-6478-6880
person:A5075463806,person,A5075463806,Alan C. Bovik,Alan C. Bovik,https://orcid.org/0000-0001-6067-710X
person:A5110225174,person,A5110225174,Alan Coulson,Alan Coulson,
person:A5060550957,person,A5060550957,Alan E. Mark,Alan E. Mark,https://orcid.org/0000-0001-5880-4798
person:A5007769955,person,A5007769955,Alan E. Reed,Alan E. Reed,
person:A5111452408,person,A5111452408,Alan Filipski,Alan Filipski,
person:A5022496698,person,A5022496698,Alan Geer,Alan Geer,https://orcid.org/0000-0002-9476-5519
person:A5066147484,person,A5066147484,Alan H. Diercks,Alan H. Diercks,https://orcid.org/0000-0002-5236-6130
person:A5084397587,person,A5084397587,Alan K. Jarmusch,Alan K. Jarmusch,https://orcid.org/0000-0002-2228-6308
person:A5109189964,person,A5109189964,Alan Przybyla,Alan Przybyla,
person:A5039244906,person,A5039244906,Alan Sheridan,Alan Sheridan,
person:A5086706224,person,A5086706224,Alan Yuille,Alan Yuille,https://orcid.org/0000-0001-5207-9249
person:A5016133956,person,A5016133956,Alasdair J. G. Gray,Alasdair J. G. Gray,https://orcid.org/0000-0002-5711-4872
person:A5108244617,person,A5108244617,Alastair M. Mackay,Alastair M. Mackay,
person:A5087336206,person,A5087336206,Alba A. Brandes,Alba A. Brandes,https://orcid.org/0000-0002-2503-9089
person:W4292808503-person-0,person,W4292808503-person-0,Albert Bandura,Albert Bandura,
person:A5110910530,person,A5110910530,Albert Bandura,Albert Bandura,
person:A5042603640,person,A5042603640,Albert Cardona,Albert Cardona,https://orcid.org/0000-0003-4941-6536
person:A5083138872,person,A5083138872,Albert Einstein,Albert Einstein,
person:A5039601178,person,A5039601178,Albert Messiah,Albert Messiah,
person:A5082106745,person,A5082106745,Albert Mons,Albert Mons,https://orcid.org/0000-0001-8038-7572
person:A5073193174,person,A5073193174,Albert-Georg Lang,Albert-Georg Lang,
person:A5056263250,person,A5056263250,Albert-Georg Lang,Albert-Georg Lang,
person:A5038976962,person,A5038976962,Albert-Ĺaszló Barabási,Albert-Ĺaszló Barabási,https://orcid.org/0000-0002-4028-3522
person:A5090190126,person,A5090190126,Alec Wysoker,Alec Wysoker,
person:A5086246448,person,A5086246448,Alejandra González-Beltrán,Alejandra González-Beltrán,https://orcid.org/0000-0003-3499-8262
person:A5103096187,person,A5103096187,Alejandro Castro,Alejandro Castro,https://orcid.org/0000-0003-0561-5971
person:A5040320731,person,A5040320731,Alejandro R. Jadad,Alejandro R. Jadad,https://orcid.org/0000-0002-9591-5099
person:A5061017744,person,A5061017744,Aleksandr V. Marenich,Aleksandr V. Marenich,https://orcid.org/0000-0003-0288-843X
person:A5091863515,person,A5091863515,Aleksandr Y. Aravkin,Aleksandr Y. Aravkin,https://orcid.org/0000-0002-1875-1801
person:W2005501262-person-1,person,W2005501262-person-1,Alessandro Liberati,Alessandro Liberati,
person:A5113499690,person,A5113499690,Alessandro Liberati,Alessandro Liberati,
person:W3003257820-person-36,person,W3003257820-person-36,Alessandro Pietro Bardelli,Alessandro Pietro Bardelli,
person:A5027154958,person,A5027154958,Alex Bridgland,Alex Bridgland,
person:A5110792587,person,A5110792587,Alex Cooper,Alex Cooper,
person:A5043473089,person,A5043473089,Alex Graves,Alex Graves,
person:A5068971199,person,A5068971199,Alex Hayes,Alex Hayes,https://orcid.org/0000-0002-4985-5160
person:A5002013850,person,A5002013850,Alex Kim,Alex Kim,https://orcid.org/0000-0001-6315-8743
person:A5031152245,person,A5031152245,Alex Krizhevsky,Alex Krizhevsky,
person:W3003257820-person-37,person,W3003257820-person-37,Alex Rothberg,Alex Rothberg,
person:A5007886751,person,A5007886751,Alex Zunger,Alex Zunger,https://orcid.org/0000-0001-5525-3003
person:A5104361813,person,A5104361813,Alexander C. Berg,Alexander C. Berg,
person:W2193145675-person-6,person,W2193145675-person-6,Alexander C. Berg,Alexander C. Berg,
person:A5019977651,person,A5019977651,Alexander Dobin,Alexander Dobin,https://orcid.org/0000-0002-4115-9128
person:A5112771077,person,A5112771077,Alexander Gordon,Alexander Gordon,
person:A5006363776,person,A5006363776,Alexander Junge,Alexander Junge,https://orcid.org/0000-0002-2410-9671
person:W1966114254-person-1,person,W1966114254-person-1,Alexander O’Connor,Alexander O’Connor,
person:A5086953586,person,A5086953586,Alexander Pergamenschikov,Alexander Pergamenschikov,
person:A5062883663,person,A5062883663,Alexander Pritzel,Alexander Pritzel,https://orcid.org/0000-0002-4233-9040
person:A5045174507,person,A5045174507,Alexander S. Kulikov,Alexander S. Kulikov,https://orcid.org/0000-0002-5656-0336
person:A5069651035,person,A5069651035,Alexander Sirotkin,Alexander Sirotkin,https://orcid.org/0000-0002-6251-4651
person:A5082490820,person,A5082490820,Alexander Smogunov,Alexander Smogunov,https://orcid.org/0000-0003-2398-3073
person:A5045015029,person,A5045015029,Alexander Stukowski,Alexander Stukowski,https://orcid.org/0000-0001-6750-3401
person:A5013313042,person,A5013313042,Alexander V. Neimark,Alexander V. Neimark,https://orcid.org/0000-0002-3443-0389
person:A5070348662,person,A5070348662,Alexandra Kuznetsova,Alexandra Kuznetsova,https://orcid.org/0000-0001-6458-2597
person:A5065678849,person,A5065678849,Alexandra M. Cantley,Alexandra M. Cantley,
person:A5041376769,person,A5041376769,Alexandra McAleenan,Alexandra McAleenan,https://orcid.org/0000-0003-2119-5604
person:A5025640090,person,A5025640090,Alexandros Stamatakis,Alexandros Stamatakis,https://orcid.org/0000-0003-0353-0691
person:A5077436220,person,A5077436220,Alexei A. Efros,Alexei A. Efros,https://orcid.org/0000-0001-5720-8070
person:A5079724732,person,A5079724732,Alexei J. Drummond,Alexei J. Drummond,https://orcid.org/0000-0003-4454-2576
person:A5030895995,person,A5030895995,Alexey Gurevich,Alexey Gurevich,https://orcid.org/0000-0002-5855-3519
person:A5077954098,person,A5077954098,Alexey Pyshkin,Alexey Pyshkin,
person:A5011189475,person,A5011189475,Alexey V. Melnik,Alexey V. Melnik,https://orcid.org/0000-0002-4645-8880
person:A5058480606,person,A5058480606,Alfred W. Bauer,Alfred W. Bauer,
person:A5033544377,person,A5033544377,Alfredo Pasquarello,Alfredo Pasquarello,https://orcid.org/0000-0002-9142-2799
person:A5077743551,person,A5077743551,Ali A. Asadi‐Pooya,Ali A. Asadi‐Pooya,https://orcid.org/0000-0002-2598-7601
person:A5101576595,person,A5101576595,Ali Farhadi,Ali Farhadi,https://orcid.org/0000-0001-7249-2380
person:A5082875930,person,A5082875930,Ali Kırık,Ali Kırık,https://orcid.org/0000-0002-7982-9262
person:A5022776797,person,A5022776797,Alireza Ahmadi,Alireza Ahmadi,https://orcid.org/0000-0001-8327-2420
person:A5110997178,person,A5110997178,Alireza Ansari-Moghaddam,Alireza Ansari-Moghaddam,https://orcid.org/0000-0002-3267-7193
person:A5064421389,person,A5064421389,Alison L. Marshall,Alison L. Marshall,https://orcid.org/0000-0001-5707-9424
person:A5031499097,person,A5031499097,Alison M. Spitz,Alison M. Spitz,https://orcid.org/0009-0002-5243-5412
person:A5053179789,person,A5053179789,Alissa Resch,Alissa Resch,
person:A5111437163,person,A5111437163,Allan G. Gornall,Allan G. Gornall,
person:W3035965352-person-15,person,W3035965352-person-15,Allan Haldane,Allan Haldane,
person:A5015115712,person,A5015115712,Allan L. Coates,Allan L. Coates,https://orcid.org/0000-0002-1298-1868
person:A5064334598,person,A5064334598,Allan Peter Davis,Allan Peter Davis,https://orcid.org/0000-0002-5741-7128
person:A5111586792,person,A5111586792,Allan T. van Oosterom,Allan T. van Oosterom,
person:A5067074103,person,A5067074103,Allan Walkley,Allan Walkley,
person:A5005657217,person,A5005657217,Allen J. Bard,Allen J. Bard,https://orcid.org/0000-0002-8517-0230
person:A5038884690,person,A5038884690,Allison Tong,Allison Tong,https://orcid.org/0000-0001-8973-9538
person:A5058948939,person,A5058948939,Alyssa Acebedo,Alyssa Acebedo,
person:A5081044991,person,A5081044991,Amanda A. McMurray,Amanda A. McMurray,https://orcid.org/0000-0001-8237-3289
person:A5022925020,person,A5022925020,Amanda G. Paulovich,Amanda G. Paulovich,https://orcid.org/0000-0001-6532-6499
person:A5101501222,person,A5101501222,Amartya Sen,Amartya Sen,https://orcid.org/0000-0002-6203-4674
person:A5000364987,person,A5000364987,American Psychiatric Association,American Psychiatric Association,
person:W1856219842-person-3,person,W1856219842-person-3,American Public Health Association.,American Public Health Association.,
person:W1856219842-person-2,person,W1856219842-person-2,American Water Works Association.,American Water Works Association.,
person:A5100781180,person,A5100781180,Amir Almasi‐Hashiani,Amir Almasi‐Hashiani,https://orcid.org/0000-0003-4434-561X
person:A5012250683,person,A5012250683,Amir Sadik,Amir Sadik,
