id,type,publication_id,label,title,year,journal_id,journal_name,cited_by_count
publication:W2964015378,publication,W2964015378,Detecting Functionality-Specific Vulnerabilities via Retrieving Individual Functionality-Equivalent APIs in Open-Source Repositories,Detecting Functionality-Specific Vulnerabilities via Retrieving Individual Functionality-Equivalent APIs in Open-Source Repositories,2025,S7407052059,Dagstuhl Research Online Publication Server,16099
publication:W2787959293,publication,W2787959293,Fractional Differential Equations,Fractional Differential Equations,2025,name:без журнала,Без журнала,20501
publication:W1803273808,publication,W1803273808,The Coding Manual for Qualitative Researchers,The Coding Manual for Qualitative Researchers,2025,name:без журнала,Без журнала,17891
publication:W4393935425,publication,W4393935425,Global cancer statistics 2022: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries,Global cancer statistics 2022: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries,2024,S126094547,CA A Cancer Journal for Clinicians,21217
publication:W4392145873,publication,W4392145873,"Two new Later Stone Age sites from the Final Pleistocene in the Falémé Valley, eastern Senegal","Two new Later Stone Age sites from the Final Pleistocene in the Falémé Valley, eastern Senegal",2024,S4210235606,ENLIGHTEN (Jurnal Bimbingan dan Konseling Islam),23814
publication:W4315754639,publication,W4315754639,"Cancer statistics, 2023","Cancer statistics, 2023",2023,S126094547,CA A Cancer Journal for Clinicians,16372
publication:W4320013936,publication,W4320013936,Generative Adversarial Nets,Generative Adversarial Nets,2023,name:machine learning under malware attack,Machine Learning under Malware Attack,19895
publication:W4385245566,publication,W4385245566,MizAR 60 for Mizar 50,MizAR 60 for Mizar 50,2023,S4377196569,DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),74877
publication:W4367314869,publication,W4367314869,The Presentation of Self in Everyday Life,The Presentation of Self in Everyday Life,2023,name:social theory re-wired,Social Theory Re-Wired,17680
publication:W4214907476,publication,W4214907476,Advances In Experimental Social Psychology,Advances In Experimental Social Psychology,2022,S106560479,Advances in experimental social psychology,22492
publication:W4206841660,publication,W4206841660,"Cancer statistics, 2022","Cancer statistics, 2022",2022,S126094547,CA A Cancer Journal for Clinicians,18040
publication:W4281687410,publication,W4281687410,Diagnostic and Statistical Manual of Mental Disorders,Diagnostic and Statistical Manual of Mental Disorders,2022,S4306462816,American Psychiatric Association Publishing eBooks,20775
publication:W3119005666,publication,W3119005666,"Cancer Statistics, 2021","Cancer Statistics, 2021",2021,S126094547,CA A Cancer Journal for Clinicians,17302
publication:W3128646645,publication,W3128646645,Global Cancer Statistics 2020: GLOBOCAN Estimates of Incidence and Mortality Worldwide for 36 Cancers in 185 Countries,Global Cancer Statistics 2020: GLOBOCAN Estimates of Incidence and Mortality Worldwide for 36 Cancers in 185 Countries,2021,S126094547,CA A Cancer Journal for Clinicians,111051
