id,type,year,label
year:2025,year,2025,2025
year:2024,year,2024,2024
year:2023,year,2023,2023
year:2022,year,2022,2022
year:2021,year,2021,2021
year:2020,year,2020,2020
year:2019,year,2019,2019
year:2018,year,2018,2018
year:2017,year,2017,2017
year:2016,year,2016,2016
year:2015,year,2015,2015
year:2014,year,2014,2014
year:2013,year,2013,2013
year:2012,year,2012,2012
year:2011,year,2011,2011
year:2010,year,2010,2010
year:2009,year,2009,2009
year:2008,year,2008,2008
year:2007,year,2007,2007
year:2006,year,2006,2006
year:2005,year,2005,2005
year:2004,year,2004,2004
year:2003,year,2003,2003
year:2002,year,2002,2002
year:2001,year,2001,2001
year:2000,year,2000,2000
year:1999,year,1999,1999
year:1998,year,1998,1998
year:1997,year,1997,1997
year:1996,year,1996,1996
year:1995,year,1995,1995
year:1994,year,1994,1994
year:1993,year,1993,1993
year:1992,year,1992,1992
year:1991,year,1991,1991
year:1990,year,1990,1990
year:1989,year,1989,1989
year:1988,year,1988,1988
year:1987,year,1987,1987
year:1986,year,1986,1986
year:1985,year,1985,1985
year:1984,year,1984,1984
year:1983,year,1983,1983
year:1982,year,1982,1982
year:1981,year,1981,1981
year:1980,year,1980,1980
year:1979,year,1979,1979
year:1978,year,1978,1978
year:1977,year,1977,1977
year:1976,year,1976,1976
year:1975,year,1975,1975
year:1974,year,1974,1974
year:1973,year,1973,1973
year:1972,year,1972,1972
year:1971,year,1971,1971
year:1970,year,1970,1970
year:1969,year,1969,1969
year:1968,year,1968,1968
year:1967,year,1967,1967
year:1966,year,1966,1966
year:1965,year,1965,1965
year:1964,year,1964,1964
year:1963,year,1963,1963
year:1962,year,1962,1962
year:1961,year,1961,1961
year:1960,year,1960,1960
year:1959,year,1959,1959
year:1958,year,1958,1958
year:1957,year,1957,1957
year:1956,year,1956,1956
year:1955,year,1955,1955
year:1954,year,1954,1954
year:1953,year,1953,1953
year:1952,year,1952,1952
year:1951,year,1951,1951
year:1949,year,1949,1949
year:1948,year,1948,1948
year:1947,year,1947,1947
year:1945,year,1945,1945
year:1943,year,1943,1943
year:1939,year,1939,1939
year:1938,year,1938,1938
year:1937,year,1937,1937
year:1935,year,1935,1935
year:1934,year,1934,1934
year:1930,year,1930,1930
year:1925,year,1925,1925
year:1918,year,1918,1918
