id,name,issn_l,issn,type,is_oa,is_in_doaj,host_organization,host_organization_name
S4363607795,2009 IEEE Conference on Computer Vision and Pattern Recognition,,,conference,0,0,,
S4363607764,2021 IEEE/CVF International Conference on Computer Vision (ICCV),,,conference,0,0,,
S117778295,Academy of Management Journal,0001-4273,"0001-4273, 1948-0989",journal,0,0,https://openalex.org/P4310316266,Academy of Management
S46763546,Academy of Management Review,0363-7425,"0363-7425, 1930-3807",journal,0,0,https://openalex.org/P4310316266,Academy of Management
S4210176598,ACM SIGKDD Explorations Newsletter,1931-0145,"1931-0145, 1931-0153",journal,0,0,https://openalex.org/P4310319798,Association for Computing Machinery
S186921487,ACM SIGSOFT Software Engineering Notes,0163-5948,"0163-5948, 1943-5843",journal,0,0,https://openalex.org/P4310319798,Association for Computing Machinery
S2492086750,ACM Transactions on Intelligent Systems and Technology,2157-6904,"2157-6904, 2157-6912",journal,0,0,https://openalex.org/P4310319798,Association for Computing Machinery
S4210200759,Acta Crystallographica Section A,0567-7394,"0567-7394, 1600-8596",journal,0,0,https://openalex.org/P4310320555,International Union of Crystallography
S4393918093,Acta Crystallographica Section A Foundations and Advances,2053-2733,2053-2733,journal,0,0,,
S150871906,Acta Crystallographica Section A Foundations of Crystallography,0108-7673,"0108-7673, 1600-5724",journal,0,0,https://openalex.org/P4310320595,Wiley
S4393918092,Acta Crystallographica Section C Structural Chemistry,2053-2296,2053-2296,journal,0,0,,
S114502960,Acta Crystallographica Section D Biological Crystallography,0907-4449,"0907-4449, 1399-0047",journal,0,0,https://openalex.org/P4310320595,Wiley
S198620474,Acta Neuropathologica,0001-6322,"0001-6322, 1432-0533",journal,0,0,https://openalex.org/P4310319900,Springer Science+Business Media
S199498439,Acta Psychiatrica Scandinavica,0001-690X,"0001-690X, 1600-0447",journal,0,0,https://openalex.org/P4310320595,Wiley
S143668711,Administrative Science Quarterly,0001-8392,"0001-8392, 1930-3815",journal,0,0,https://openalex.org/P4310320017,SAGE Publishing
S114437232,Advanced Drug Delivery Reviews,0169-409X,"0169-409X, 1872-8294",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S16540516,Advances in Engineering Software,0965-9978,"0965-9978, 1873-5339",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S106560479,Advances in experimental social psychology,0065-2601,"0065-2601, 1557-8410",book series,0,0,https://openalex.org/P4310320990,Elsevier BV
S4210174510,Advances in strategic management,0742-3322,0742-3322,book series,0,0,,
S139950591,Agronomy Journal,0002-1962,"0002-1962, 1072-9623, 1435-0645",journal,0,0,https://openalex.org/P4310320595,Wiley
S53336109,AIAA Journal,0001-1452,"0001-1452, 1081-0102, 1533-385X",journal,0,0,https://openalex.org/P4310315709,American Institute of Aeronautics and Astronautics
S108427512,Alzheimer s & Dementia,1552-5260,"1552-5260, 1552-5279",journal,0,0,https://openalex.org/P4310320595,Wiley
S23254222,American Economic Review,0002-8282,"0002-8282, 1944-7981",journal,0,0,https://openalex.org/P4310315912,American Economic Association
S15871148,American Journal of Clinical Pathology,0002-9173,"0002-9173, 1943-7722",journal,0,0,https://openalex.org/P4310311648,Oxford University Press
S14903550,American Journal of Enology and Viticulture,0002-9254,"0002-9254, 1943-7749",journal,0,0,https://openalex.org/P4310316470,American Society for Enology and Viticulture
S170967050,American Journal of Epidemiology,0002-9262,"0002-9262, 1476-6256",journal,0,0,https://openalex.org/P4310311648,Oxford University Press
S38866342,American Journal of Physics,0002-9505,"0002-9505, 1943-2909",journal,0,0,https://openalex.org/P4310320257,American Institute of Physics
S195759676,American Journal of Preventive Medicine,0749-3797,"0749-3797, 1873-2607",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S93356601,American Journal of Respiratory and Critical Care Medicine,1073-449X,"1073-449X, 1535-4970",journal,0,0,https://openalex.org/P4310316311,American Thoracic Society
S122471516,American Journal of Sociology,0002-9602,"0002-9602, 1537-5390",journal,0,0,https://openalex.org/P4310315672,University of Chicago Press
S4306462811,American Mathematical Society eBooks,,,ebook platform,0,0,https://openalex.org/P4310321506,Serbian Mathematical Society
S4306462815,American Psychiatric Association eBooks,,,ebook platform,0,0,https://openalex.org/P4310316602,American Psychiatric Association
S4306462816,American Psychiatric Association Publishing eBooks,,,ebook platform,0,0,,
S80146597,American Psychologist,0003-066X,"0003-066X, 1935-990X",journal,0,0,https://openalex.org/P4310320262,American Psychological Association
S157620343,American Sociological Review,0003-1224,"0003-1224, 1939-8271",journal,0,0,https://openalex.org/P4310320017,SAGE Publishing
S192559872,Analytica Chimica Acta,0003-2670,"0003-2670, 1873-4324",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S7858788,Analytical Biochemistry,0003-2697,"0003-2697, 1096-0309",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S191963794,Analytical Chemistry,0003-2700,"0003-2700, 1520-6882",journal,0,0,https://openalex.org/P4310320006,American Chemical Society
S4377196922,Andalas University Repository (Andalas University),,,repository,0,0,https://openalex.org/I55892964,Andalas University
S139806068,Annals of Dyslexia,0736-9387,"0736-9387, 1934-7243",journal,0,0,https://openalex.org/P4310319900,Springer Science+Business Media
S119722071,Annals of Internal Medicine,0003-4819,"0003-4819, 1539-3704",journal,0,0,https://openalex.org/P4310316812,American College of Physicians
S157664895,Annals of Surgery,0003-4932,"0003-4932, 1528-1140",journal,0,0,https://openalex.org/P4310315671,Lippincott Williams & Wilkins
S8802318,Annals of the New York Academy of Sciences,0077-8923,"0077-8923, 1749-6632",journal,0,0,https://openalex.org/P4310320595,Wiley
S4210205963,Annual Review of Ecology and Systematics,0066-4162,"0066-4162, 2330-1902",journal,0,0,https://openalex.org/P4310320373,Annual Reviews
S61274580,Annual Review of Sociology,0360-0572,"0360-0572, 1545-2115",journal,0,0,https://openalex.org/P4310320373,Annual Reviews
S158228368,Applied and Environmental Microbiology,0099-2240,"0099-2240, 1070-6291, 1098-5336",journal,0,1,https://openalex.org/P4310320263,American Society for Microbiology
S2764390947,Applied mathematical sciences,0066-5452,"0066-5452, 2196-968X",book series,0,0,https://openalex.org/P4310319965,Springer Nature
S94663699,Applied Psychological Measurement,0146-6216,"0146-6216, 1552-3497",journal,0,0,https://openalex.org/P4310320017,SAGE Publishing
S153476765,Archives of Biochemistry and Biophysics,0003-9861,"0003-9861, 1096-0384",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S126359496,Archives of General Psychiatry,0003-990X,"0003-990X, 1538-3636",journal,0,0,https://openalex.org/P4310320259,American Medical Association
S4210206803,Archives of Internal Medicine,0003-9926,"0003-9926, 1538-3679",journal,0,0,https://openalex.org/P4310320259,American Medical Association
S132787887,Arthritis & Rheumatism,0004-3591,"0004-3591, 1529-0131",journal,0,0,https://openalex.org/P4310320595,Wiley
S4306462866,ASM International eBooks,,,ebook platform,0,0,https://openalex.org/P4310316053,ASM International
S4210198536,Australian and New Zealand Journal of Public Health,1326-0200,"1326-0200, 1753-6405",journal,0,1,https://openalex.org/P4310320990,Elsevier BV
S137478622,Behavior Research Methods,1554-351X,"1554-351X, 1554-3528",journal,0,0,https://openalex.org/P4310319900,Springer Science+Business Media
S192806854,"Behavior Research Methods, Instruments, & Computers",0743-3808,"0743-3808, 1532-5970",journal,0,0,https://openalex.org/P4310319900,Springer Science+Business Media
S186589312,Behaviour Research and Therapy,0005-7967,"0005-7967, 1873-622X",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S127472826,Bell System Technical Journal,0005-8580,"0005-8580, 2376-7154",journal,0,0,https://openalex.org/P4310319808,Institute of Electrical and Electronics Engineers
S185467459,Biochemia Medica,1330-0962,"1330-0962, 1846-7482",journal,1,1,https://openalex.org/P4310314792,Croatian society of medical biochemistry and laboratory medicine
S185596183,Biochemical Education,0307-4412,"0307-4412, 1879-1468",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S185534594,Biochemical Pharmacology,0006-2952,"0006-2952, 1873-2968",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S104038378,Biochemistry,0006-2960,"0006-2960, 1520-4995, 1943-295X",journal,0,0,https://openalex.org/P4310320006,American Chemical Society
S52395412,Bioinformatics,1367-4803,"1367-4803, 1367-4811",journal,0,1,https://openalex.org/P4310311648,Oxford University Press
S8265502,Biometrics,0006-341X,"0006-341X, 1541-0420",journal,0,0,https://openalex.org/P4310311648,Oxford University Press
S172180718,Biometrika,0006-3444,"0006-3444, 1464-3510",journal,0,0,https://openalex.org/P4310311648,Oxford University Press
S56808608,Biopolymers,0006-3525,"0006-3525, 1097-0282",journal,0,0,https://openalex.org/P4310320595,Wiley
S19032547,BMC Bioinformatics,1471-2105,1471-2105,journal,1,1,https://openalex.org/P4310320256,BioMed Central
S4393917726,BMJ,1756-1833,1756-1833,journal,0,0,,
S192814187,BMJ,0959-8138,0959-8138,journal,0,0,https://openalex.org/P4310319945,BMJ
S183182149,Bone Marrow Transplantation,0268-3369,"0268-3369, 1476-5365",journal,0,0,https://openalex.org/P4310319965,Springer Nature
S9986330,Breast Care,1661-3791,"1661-3791, 1661-3805",journal,0,0,https://openalex.org/P4310317820,Karger Publishers
S62966998,British Journal of Cancer,0007-0920,"0007-0920, 1532-1827",journal,0,0,https://openalex.org/P4310319965,Springer Nature
S93528005,British Journal of Educational Studies,0007-1005,"0007-1005, 1467-8527",journal,0,0,https://openalex.org/P4310320547,Taylor & Francis
S118940690,Bulletin of Mathematical Biology,0092-8240,"0092-8240, 1522-9602",journal,0,0,https://openalex.org/P4310319900,Springer Science+Business Media
S140302479,Bulletin of the American Meteorological Society,0003-0007,"0003-0007, 1520-0477",journal,0,0,https://openalex.org/P4310320260,American Meteorological Society
S113237667,Business Horizons,0007-6813,"0007-6813, 1873-6068",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S126094547,CA A Cancer Journal for Clinicians,0007-9235,"0007-9235, 1542-4863",journal,1,0,https://openalex.org/P4310320595,Wiley
S4306462995,Cambridge University Press eBooks,,,ebook platform,0,0,https://openalex.org/P4310311721,Cambridge University Press
S4210189559,Canadian Graduate Journal of Sociology and Criminology,1927-9825,1927-9825,journal,1,0,https://openalex.org/P4310312927,University of Waterloo
S4210182832,Canadian Journal of Biochemistry and Physiology,0576-5544,0576-5544,journal,0,0,https://openalex.org/P4310312929,Canadian Science Publishing
S173335977,Canadian Journal of Physics,0008-4204,"0008-4204, 1208-6045",journal,0,0,https://openalex.org/P4310313060,NRC Research Press
S126033908,Cancer,0008-543X,"0008-543X, 1045-7410, 1097-0142",journal,0,0,https://openalex.org/P4310320595,Wiley
S2486275289,Cancer Discovery,2159-8274,"2159-8274, 2159-8290",journal,0,0,https://openalex.org/P4310320273,American Association for Cancer Research
S110447773,Cell,0092-8674,"0092-8674, 1097-4172",journal,0,0,https://openalex.org/P4310315673,Cell Press
S161399637,Cellular Physiology and Biochemistry,1015-8987,"1015-8987, 1421-9778",journal,1,1,https://openalex.org/P4310317820,Karger Publishers
S4306402195,CERN Document Server (European Organization for Nuclear Research),,,repository,0,0,https://openalex.org/I67311998,European Organization for Nuclear Research
S41143188,Chemical Reviews,0009-2665,"0009-2665, 1520-6890",journal,0,0,https://openalex.org/P4310320006,American Chemical Society
S2764375719,Choice Reviews Online,0009-4978,"0009-4978, 1523-8253, 1943-5975",journal,0,0,https://openalex.org/P4310316146,Association of College and Research Libraries
S116251202,Circulation,0009-7322,"0009-7322, 1524-4539",journal,0,0,https://openalex.org/P4310315671,Lippincott Williams & Wilkins
