publication_id,topic_id,topic_name,score,subfield,field,domain
W2108598243,T10627,Advanced Image and Video Retrieval Techniques,0.9998999834060669,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W2108598243,T10824,Image Retrieval and Classification Techniques,0.9991000294685364,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W2108598243,T11714,Multimodal Machine Learning Applications,0.9937999844551086,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W3138516171,T10036,Advanced Neural Network Applications,0.9998999834060669,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W3138516171,T11307,Domain Adaptation and Few-Shot Learning,0.9997000098228455,Artificial Intelligence,Computer Science,Physical Sciences
W3138516171,T10627,Advanced Image and Video Retrieval Techniques,0.9995999932289124,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W2167928095,T10344,Management and Organizational Studies,0.9865999817848206,Organizational Behavior and Human Resource Management,"Business, Management and Accounting",Social Sciences
W2167928095,T11024,Information Systems Theories and Implementation,0.9793999791145325,Sociology and Political Science,Social Sciences,Social Sciences
W2167928095,T12010,Evaluation and Performance Assessment,0.9520999789237976,Management Science and Operations Research,Decision Sciences,Social Sciences
W2081228936,T11047,Gender Diversity and Inequality,0.857200026512146,Gender Studies,Social Sciences,Social Sciences
W201578715,T11810,Complex Systems and Decision Making,0.6603999733924866,Management Science and Operations Research,Decision Sciences,Social Sciences
W2141951329,T10344,Management and Organizational Studies,0.9900000095367432,Organizational Behavior and Human Resource Management,"Business, Management and Accounting",Social Sciences
W2141951329,T11810,Complex Systems and Decision Making,0.9751999974250793,Management Science and Operations Research,Decision Sciences,Social Sciences
W2141951329,T11024,Information Systems Theories and Implementation,0.9478999972343445,Sociology and Political Science,Social Sciences,Social Sciences
W3123397884,T11810,Complex Systems and Decision Making,0.1745000034570694,Management Science and Operations Research,Decision Sciences,Social Sciences
W2133990480,T10538,Data Mining Algorithms and Applications,0.9988999962806702,Information Systems,Computer Science,Physical Sciences
W2133990480,T10317,Advanced Database Systems and Queries,0.9965000152587891,Computer Networks and Communications,Computer Science,Physical Sciences
W2133990480,T11106,Data Management and Algorithms,0.9965000152587891,Signal Processing,Computer Science,Physical Sciences
W2764347725,T10622,Quantum Mechanics and Applications,0.7595999836921692,"Atomic and Molecular Physics, and Optics",Physics and Astronomy,Physical Sciences
W2764347725,T10682,Quantum Computing Algorithms and Architecture,0.7258999943733215,Artificial Intelligence,Computer Science,Physical Sciences
W2153635508,T10057,Face and Expression Recognition,0.9997000098228455,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W2153635508,T10320,Neural Networks and Applications,0.9988999962806702,Artificial Intelligence,Computer Science,Physical Sciences
W2153635508,T11512,Anomaly Detection Techniques and Applications,0.9976999759674072,Artificial Intelligence,Computer Science,Physical Sciences
W2167590372,T12557,Inorganic Chemistry and Materials,0.9995999932289124,Inorganic Chemistry,Chemistry,Physical Sciences
W2167590372,T12613,X-ray Diffraction in Crystallography,0.9969000220298767,Materials Chemistry,Materials Science,Physical Sciences
W2167590372,T10939,Crystal Structures and Properties,0.9958999752998352,"Electronic, Optical and Magnetic Materials",Materials Science,Physical Sciences
W2132454074,T12613,X-ray Diffraction in Crystallography,1.0,Materials Chemistry,Materials Science,Physical Sciences
W2132454074,T12646,Inorganic Fluorides and Related Compounds,1.0,Inorganic Chemistry,Chemistry,Physical Sciences
W2132454074,T10939,Crystal Structures and Properties,0.9998999834060669,"Electronic, Optical and Magnetic Materials",Materials Science,Physical Sciences
W2131350133,T11162,Enzyme Structure and Function,0.9998999834060669,Materials Chemistry,Materials Science,Physical Sciences
W2131350133,T10044,Protein Structure and Dynamics,0.9987000226974487,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W2131350133,T10211,Computational Drug Discovery Methods,0.9948999881744385,Computational Theory and Mathematics,Computer Science,Physical Sciences
W2148066840,T12613,X-ray Diffraction in Crystallography,0.9998999834060669,Materials Chemistry,Materials Science,Physical Sciences
W2148066840,T10798,Crystallography and molecular interactions,0.9937000274658203,Physical and Theoretical Chemistry,Chemistry,Physical Sciences
W2148066840,T11881,Crystallization and Solubility Studies,0.9889000058174133,Materials Chemistry,Materials Science,Physical Sciences
W1969360633,T12613,X-ray Diffraction in Crystallography,0.9998000264167786,Materials Chemistry,Materials Science,Physical Sciences
