id,display_name,orcid
A5086692495,Wei Dong,https://orcid.org/0000-0003-3067-8720
A5009049500,Li-Jia Li,https://orcid.org/0000-0001-5850-7013
A5100399972,Kai Li,https://orcid.org/0000-0003-1560-0853
A5100349451,Ze Liu,https://orcid.org/0000-0001-8512-5408
A5102798361,Yutong Lin,https://orcid.org/0000-0001-8038-4064
A5101593662,Yue Cao,https://orcid.org/0000-0002-1679-0444
A5101976576,Han Hu,https://orcid.org/0000-0001-5104-6146
A5009248953,Yixuan Wei,https://orcid.org/0000-0003-1775-7301
A5100459168,Zheng Zhang,https://orcid.org/0000-0003-1470-6998
A5025114648,Stephen Lin,https://orcid.org/0000-0002-5616-558X
A5101666011,Baining Guo,https://orcid.org/0000-0001-8349-8868
A5012295433,Melissa E. Graebner,https://orcid.org/0000-0001-7361-8862
A5106923143,Rabi S. Bhagat,
A5110458536,Dennis A. Gioia,
A5088714049,Ajay Mehra,
A5078272344,Karl E. Weick,
A5045613469,Kathleen M. Eisenhardt,https://orcid.org/0000-0002-4879-1679
A5056507889,Mark Hall,https://orcid.org/0000-0003-0081-4277
A5063502807,Geoffrey Holmes,https://orcid.org/0000-0003-0433-8925
A5087785022,Bernhard Pfahringer,https://orcid.org/0000-0002-3732-5787
A5065535374,Peter Reutemann,https://orcid.org/0000-0002-1226-0948
A5040957761,Jim Law,
A5103432521,Chih-Chung Chang,
A5068223640,Chih‐Jen Lin,https://orcid.org/0000-0003-4684-8747
A5112607389,R. D. Shannon,
A5042885999,George M. Sheldrick,https://orcid.org/0000-0001-6956-4822
A5027485418,Pavel V. Afonine,https://orcid.org/0000-0002-5052-991X
A5032792168,G. Bunkóczi,https://orcid.org/0000-0002-4911-7248
A5019366254,Vincent B. Chen,https://orcid.org/0000-0003-2492-979X
A5061053575,Ian Davis,https://orcid.org/0000-0002-1566-4972
A5112138120,Nathaniel Echols,
A5027195057,Jeffrey J. Headd,
A5023778323,Li‐Wei Hung,https://orcid.org/0000-0001-6690-8458
A5069575711,Gary J. Kapral,
A5084490031,Nigel W. Moriarty,https://orcid.org/0000-0001-8857-9464
A5019087806,Robert D. Oeffner,https://orcid.org/0000-0003-3107-2202
A5035236781,David Richardson,https://orcid.org/0000-0001-5069-343X
A5046412779,Jane S. Richardson,https://orcid.org/0000-0002-3311-2944
A5090015351,Thomas C. Terwilliger,https://orcid.org/0000-0001-6384-0320
A5081770773,Peter H. Zwart,
A5073942998,Bernhard Lohkamp,https://orcid.org/0000-0002-5646-2090
A5063283743,W. G. Scott,https://orcid.org/0000-0002-9273-3564
A5071138931,Paul Emsley,https://orcid.org/0000-0002-0138-5227
A5018808577,Kevin Cowtan,https://orcid.org/0000-0002-0189-1437
A5056911622,Axel T. Brünger,https://orcid.org/0000-0001-5121-2036
A5024727980,G. Marius Clore,https://orcid.org/0000-0003-3809-1027
A5045574506,Piet Gros,https://orcid.org/0000-0002-7782-2585
A5011813946,Jiansheng Jiang,https://orcid.org/0000-0003-0964-5481
A5046828897,John Kuszewski,
A5024276029,Michaël Nilges,https://orcid.org/0000-0002-1451-8092
A5042956432,Neesh Pannu,https://orcid.org/0000-0002-8626-8504
A5056334757,Luke M. Rice,https://orcid.org/0000-0001-6551-3307
A5033410644,Thomas Simonson,https://orcid.org/0000-0002-5117-7338
A5057042667,Gregory L. Warren,https://orcid.org/0000-0003-4017-0162
A5097852737,Number Collaborative Computational Project,
A5021122229,David N. Louis,https://orcid.org/0000-0002-9423-4099
A5052983963,Arie Perry,https://orcid.org/0000-0002-8300-7261
A5014129073,Guido Reifenberger,https://orcid.org/0000-0002-1419-9837
A5052657395,Andreas von Deimling,https://orcid.org/0000-0002-5863-540X
A5111547791,Dominique Figarella-Branger,
A5072507966,Webster K. Cavenee,https://orcid.org/0000-0003-3804-9179
A5103530823,Hiroko Ohgaki,
A5111874068,Otmar D. Wiestler,
A5017135203,Paul Kleihues,
A5071632296,David W. Ellison,https://orcid.org/0000-0003-1239-7757
A5016965073,Heiko Braak,https://orcid.org/0000-0002-6776-1045
A5109411364,Eva Braak,
A5007379298,A. S. Zigmond,
A5088498607,R. P. Snaith,
A5056249088,Harry C. Triandis,
A5056276177,Geert Hofstede,
A5066540447,Wesley M. Cohen,
A5030291124,Daniel A. Levinthal,https://orcid.org/0000-0002-8740-6091
A5040688597,Christopher A. Lipinski,https://orcid.org/0000-0001-7355-7254
A5072778946,Franco Lombardo,https://orcid.org/0000-0002-0875-1664
A5050837683,Beryl W. Dominy,
A5035781073,Paul J. Feeney,
A5091500375,Seyedali Mirjalili,https://orcid.org/0000-0002-1443-9458
A5071437793,Seyed Mohammad Mirjalili,https://orcid.org/0000-0002-5364-2715
A5063313173,Andrew Lewis,https://orcid.org/0000-0002-0122-2532
A5110449310,H. F. Robinson,
A5029882914,Florian Menter,
A5059027860,David S. Knopman,https://orcid.org/0000-0002-6544-066X
A5068688487,Bradley T. Hyman,https://orcid.org/0000-0002-7959-9401
A5005099850,Clifford R. Jack,https://orcid.org/0000-0001-7916-622X
A5078760561,Claudia H. Kawas,https://orcid.org/0000-0001-9577-230X
A5036841670,William E. Klunk,https://orcid.org/0000-0001-5512-0251
A5000644127,Walter J. Koroshetz,https://orcid.org/0000-0001-7292-7831
A5068971185,Jennifer J. Manly,https://orcid.org/0000-0002-9481-7497
A5077632970,Richard Mayeux,https://orcid.org/0000-0001-6519-9696
A5037912275,Richard C. Mohs,https://orcid.org/0000-0002-3765-6287
A5063630764,John C. Morris,https://orcid.org/0000-0001-9820-5618
A5032450718,Martin N. Rossor,https://orcid.org/0000-0001-8215-3120
A5025870220,Philip Scheltens,https://orcid.org/0000-0002-1046-6408
A5027031712,María C. Carrillo,https://orcid.org/0000-0003-3057-2387
A5043913986,Bill Thies,
A5002754020,Sandra Weıntraub,https://orcid.org/0000-0003-2605-5205
A5012170843,Creighton H. Phelps,
A5058480606,Alfred W. Bauer,
A5110382264,William Kirby,
A5110023640,J. C. Sherris,
A5071266965,Marvin Turck,
A5052851289,Joseph A. Rossi,
A5041071727,Linda Reed,
A5032767751,Hugo Muench,
A5068097121,Michael A. Nielsen,https://orcid.org/0000-0002-6188-5389
A5103046966,Isaac L. Chuang,
A5031023857,Lov K. Grover,
A5109952461,Benoît B. Mandelbrot,
A5032489073,John Wheeler,https://orcid.org/0000-0002-7576-4465
A5018694596,Donald A. McQuarrie,
A5027606126,B. D. Cullity,
W1974085346-person-1,John W. Weymouth,
A5111445595,C. Kittel,
A5100703985,Heng Fan,https://orcid.org/0000-0002-5328-2449
A5049529015,Vincent J. Felitti,
A5112456413,Robert F. Anda,
A5047835625,Dale Nordenberg,
A5110858271,David F. Williamson,
A5031499097,Alison M. Spitz,https://orcid.org/0009-0002-5243-5412
A5112481881,Valerie J. Edwards,
A5047435579,Mary P. Koss,https://orcid.org/0000-0001-9317-9318
A5109569377,James S. Marks,
A5083312029,Jørgen Vestbo,https://orcid.org/0000-0001-6355-6362
A5064137195,Suzanne S. Hurd,
A5054165025,Àlvar Agustí,https://orcid.org/0000-0003-3271-3788
A5000958944,Paul Jones,https://orcid.org/0000-0001-6087-9182
A5059684830,Claus Vogelmeier,https://orcid.org/0000-0002-9798-2527
A5052712328,Antonio Anzueto,https://orcid.org/0000-0002-7007-588X
A5030258071,Peter J. Barnes,https://orcid.org/0000-0002-5122-4018
A5010278392,Leonardo M. Fabbri,https://orcid.org/0000-0001-8894-1689
A5100767595,Fernando J. Martínez,https://orcid.org/0000-0002-2412-3182
A5081243390,Masaharu Nishimura,https://orcid.org/0000-0002-6456-4361
A5010056224,Robert A. Stockley,https://orcid.org/0000-0003-3726-1207
A5042188739,Don D. Sin,https://orcid.org/0000-0002-0756-6643
A5110223271,Roberto Rodríguez-Roisin,
A5104047850,James S. Coleman,
A5087738695,John W. Meyer,https://orcid.org/0000-0001-5581-9038
A5054656780,Brian Rowan,
A5035549347,Mark Granovetter,
A5086016562,Stephan Ramon Garcia,https://orcid.org/0000-0001-8971-5448
A5049983178,Steven J. Miller,https://orcid.org/0000-0003-4904-4605
A5118904555,Annette Lolk,
A5000364987,American Psychiatric Association,
A5016858660,Paul DiMaggio,https://orcid.org/0000-0001-5330-2529
A5051910920,Walter W. Powell,
A5009215192,George L. Simpson,https://orcid.org/0000-0002-2446-0461
A5084562655,Peter L. Berger,https://orcid.org/0000-0002-6530-3956
A5078010687,Thomas Luckmann,
A5097854457,Kaspar D. Naegele,
A5022664477,J.E. Murphy,
A5107173826,J.P. Riley,
A5056910052,Iris F. F. Benzie,https://orcid.org/0000-0002-2312-0318
A5059126202,JJ Strain,https://orcid.org/0000-0002-1633-2873
A5076080098,Prescott L. Deininger,https://orcid.org/0000-0002-1067-3028
W1856219842-person-0,Water Environment Federation.,
W1856219842-person-1,Water Pollution Control Federation.,
W1856219842-person-2,American Water Works Association.,
W1856219842-person-3,American Public Health Association.,
A5070962272,Piotr Chomczyński,https://orcid.org/0000-0001-9375-1353
A5073693721,Nicoletta Sacchi,https://orcid.org/0000-0002-7164-401X
W2134812217-person-0,P CHOMZYNSKI,
A5113229683,Pam Smith,
A5027468826,Randall I. Krohn,
A5050964428,Greg T. Hermanson,
A5056734735,A. Krishna Mallia,
A5075336811,F.H. Gartner,
A5011919688,M.D. Provenzano,
A5056017066,Edward K. Fujimoto,
A5075922650,N.M. Goeke,
A5041746028,Bradley J. S. C. Olson,https://orcid.org/0000-0002-4751-8347
A5008911577,Dennis Klenk,
A5074378026,Andrew P. Feinberg,https://orcid.org/0000-0002-8364-1991
A5072858943,Bert Vogelstein,https://orcid.org/0000-0003-0766-3854
A5113449403,Hiroshi Ohkawa,
A5113732540,Nobuko Ohishi,
A5108209336,Kunio Yagi,
A5047160510,Mark A. Bradford,https://orcid.org/0000-0002-2022-8331
A5021181975,Marion M. Bradford,
A5064251359,Abraham. Savitzky,
A5108411636,Marcel J. E. Golay,
A5112135752,Gail Lorenz Miller,
A5110084601,Michel Dubois,
A5032143520,K. A. Gilles,
A5018540195,J. K. Hamilton,
A5050231739,P. A. Rebers,
A5109983911,F. Smith,
A5010952523,Suharsimi Arikunto,
A5031902837,Erin Lillie,https://orcid.org/0000-0001-7672-6535
A5032497384,Wasifa Zarin,
A5024431380,Kelly K. O’Brien,https://orcid.org/0000-0002-1632-6537
A5065487003,Heather Colquhoun,https://orcid.org/0000-0002-6226-2511
A5069537707,Danielle Levac,https://orcid.org/0000-0001-7356-9335
A5055760362,Micah D.J. Peters,https://orcid.org/0000-0002-1108-3783
A5085699502,Tanya Horsley,https://orcid.org/0000-0002-1256-9582
A5085697520,Susanne Hempel,https://orcid.org/0000-0003-1597-5110
A5080252384,Christine Chang,
A5081964815,Jessie McGowan,https://orcid.org/0000-0002-2201-7546
A5010229710,Lisa Hartling,https://orcid.org/0000-0001-8341-3991
A5011923288,Adrian Aldcroft,https://orcid.org/0000-0003-0106-720X
A5079953196,Michael G. Wilson,https://orcid.org/0000-0002-5383-2471
A5001327852,Chantelle Garritty,https://orcid.org/0000-0002-2207-9958
A5065626862,Simon Lewin,https://orcid.org/0000-0001-7521-9515
A5068524232,Christina Godfrey,https://orcid.org/0000-0002-9292-3237
A5087076550,Marilyn Macdonald,https://orcid.org/0000-0002-0204-6278
A5083088424,Étienne V Langlois,https://orcid.org/0000-0002-4853-2511
A5058378544,Karla Soares‐Weiser,
A5007855965,Jo Moriarty,https://orcid.org/0000-0003-1574-1242
A5062080271,Tammy Clifford,https://orcid.org/0000-0002-2356-2300
A5034889366,Özge Tunçalp,https://orcid.org/0000-0002-5370-682X
A5007761401,Sharon E. Straus,https://orcid.org/0000-0002-6106-832X
A5032690087,Andrew S. Levey,https://orcid.org/0000-0003-1491-501X
A5111911596,Lesley A. Stevens,
A5101973849,Christopher H. Schmid,https://orcid.org/0000-0002-0855-5313
A5100366781,Yaping Zhang,https://orcid.org/0000-0002-9264-3120
A5103096187,Alejandro Castro,https://orcid.org/0000-0003-0561-5971
A5016894949,Harold I. Feldman,https://orcid.org/0000-0003-4572-2608
A5109934186,John W. Kusek,
A5044698181,Paul W. Eggers,
A5030690893,Frederick Van Lente,
A5016452405,Tom Greene,https://orcid.org/0000-0002-3706-7570
A5047227825,Josef Coresh,https://orcid.org/0000-0002-4598-0669
W2005501262-person-1,Alessandro Liberati,
W2005501262-person-2,Jennifer Tetzlaff,
W2005501262-person-3,Douglas G. Altman,
W2005501262-person-4,the PRISMA Group*,
W2059796825-person-6,for the STROBE Initiative,
A5061186336,Daniel Dindo,
A5063775633,Nicolas Demartines,https://orcid.org/0000-0002-1530-3114
A5110080498,Pierre-Alain Clavien,
A5110342669,B. J. Davis,
A5089121489,George Scatchard,
A5109276346,C. S. Holling,
A5049045547,Miller McPherson,
A5035210768,Lynn Smith‐Lovin,https://orcid.org/0000-0002-8211-4719
A5019654671,James M. Cook,https://orcid.org/0000-0003-3705-8540
A5062762496,Patrick D. Schloss,https://orcid.org/0000-0002-6935-4275
A5111530938,Sarah L. Westcott,
A5011688695,Thomas Ryabin,
A5108506329,Justine R. Hall,
A5044355096,Martin Hartmann,https://orcid.org/0000-0001-8069-5284
A5055917872,Emily B. Hollister,
A5017853443,Ryan A. Lesniewski,
A5085359279,Brian B. Oakley,https://orcid.org/0000-0003-2098-6439
A5060754496,Donovan H. Parks,https://orcid.org/0000-0001-6662-9010
A5026220637,Courtney J. Robinson,https://orcid.org/0000-0003-3274-1383
A5072982028,Jason W. Sahl,
